Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Dominus Nominus,278,555,Sonny Streaker,2065,211,RGO,344,T2,0,0,0,0,-2.72%,2.72%,0,0,55,6,2,NHR,GCG,RGO,RGO,,1
Steel Pipe Simpson,80,508,Sonny Streaker,2065,122,RGO,386,T2,1,0,0,0,-2.40%,2.40%,0,0,55,6,2,NHR,GCG,RGO,RGO,,1
Peter Peckershine,389,771,Sonny Streaker,2065,887,1B,116,T2,2,0,0,0,2.15%,-2.15%,0,0,55,6,2,NHR,GCG,1B,1B,,1
Methuselah Saltalamacchia,2167,540,Sonny Streaker,2065,331,FO,209,T2,2,1,0,0,-4.14%,4.14%,0,0,55,6,2,NHR,GCG,FO,FO,,1
Jamison Wells,2038,621,Donked McToad,330,568,2B,53,B2,0,0,0,0,6.77%,-6.77%,0,1,56,6,2,GCG,NHR,2B,2B,,1
Willie Dustice,288,111,Donked McToad,330,880,FO,231,B2,0,2,0,0,-4.43%,4.43%,0,0,56,6,2,GCG,NHR,FO,FO,,1
Moog Muffesser,2009,100,Donked McToad,330,920,BB,180,B2,1,2,0,0,1.47%,-1.47%,0,1,56,6,2,GCG,NHR,BB,BB,,1
Dominick Vielbaum,1965,173,Donked McToad,330,45,BB,128,B2,1,4,0,0,8.34%,-8.34%,0,0,56,6,2,GCG,NHR,BB,BB,,1
Sonny Streaker,2065,321,Donked McToad,330,450,1B,129,B2,1,7,0,0,9.85%,-9.85%,1,0,56,6,2,GCG,NHR,1B,1B,,1
Austin Schwartz,49,850,Donked McToad,330,705,BB,145,B2,1,7,1,0,7.43%,-7.43%,1,0,56,6,2,GCG,NHR,BB,BB,,1
Brohei Brohtani,425,120,Donked McToad,330,705,K,415,B2,1,7,2,0,-4.60%,4.60%,0,0,56,6,2,GCG,NHR,K,K,,1
Tsar Zaar,274,870,Donked McToad,330,568,K,302,B2,2,7,2,0,-5.34%,5.34%,0,0,56,6,2,GCG,NHR,K,K,,1
Lawrence Wiseman,380,445,Sonny Streaker,2065,654,FO,209,T3,0,0,2,0,-2.94%,2.94%,0,0,57,6,2,NHR,GCG,FO,FO,,1
Patrick Doyle,205,1,Sonny Streaker,2065,877,BB,124,T3,1,0,2,0,3.08%,-3.08%,0,0,57,6,2,NHR,GCG,BB,BB,,1
Robin Reynolds,371,224,Sonny Streaker,2065,655,DP,431,T3,1,1,2,0,-7.27%,7.27%,0,0,57,6,2,NHR,GCG,LGO,LGO,,1
Gil Metz,206,7,Donked McToad,330,568,PO,439,B3,0,0,2,0,-1.22%,1.22%,0,0,58,6,2,GCG,NHR,PO,PO,,1
Jamison Wells,2038,803,Donked McToad,330,1,BB,198,B3,1,0,2,0,0.97%,-0.97%,0,0,58,6,2,GCG,NHR,BB,BB,,1
Willie Dustice,288,319,Donked McToad,330,509,FO,190,B3,1,1,2,0,-1.18%,1.18%,0,0,58,6,2,GCG,NHR,FO,FO,,1
Moog Muffesser,2009,920,Donked McToad,330,267,K,347,B3,2,1,2,0,-2.03%,2.03%,0,0,58,6,2,GCG,NHR,K,K,,1
Ralph Smith,2028,128,Sonny Streaker,2065,677,LGO,451,T4,0,0,2,0,-3.22%,3.22%,0,0,59,6,2,NHR,GCG,LGO,LGO,,1
Red Trapper,453,318,Sonny Streaker,2065,332,HR,14,T4,1,0,2,0,11.51%,-11.51%,1,1,59,6,2,NHR,GCG,HR,HR,,1
Dominus Nominus,278,9,Sonny Streaker,2065,877,BB,132,T4,1,0,2,1,3.84%,-3.84%,0,0,59,6,2,NHR,GCG,BB,BB,,1
Steel Pipe Simpson,80,531,Sonny Streaker,2065,12,DP,481,T4,1,1,2,1,-9.99%,9.99%,0,0,59,6,2,NHR,GCG,LGO,LGO,,1
Dominick Vielbaum,1965,597,Donked McToad,330,633,2B,36,B4,0,0,2,1,4.77%,-4.77%,0,1,60,6,2,GCG,NHR,2B,2B,,1
Oliver Yu,286,420,Donked McToad,330,444,3B,24,B4,0,2,2,1,9.66%,-9.66%,1,0,60,6,2,GCG,NHR,3B,3B,,1
Austin Schwartz,49,154,Donked McToad,330,480,K,326,B4,0,3,3,1,-2.14%,2.14%,0,0,60,6,2,GCG,NHR,K,K,,1
Brohei Brohtani,425,850,Donked McToad,330,555,K,295,B4,1,3,3,1,-3.07%,3.07%,0,0,60,6,2,GCG,NHR,K,K,,1
Tsar Zaar,274,666,Donked McToad,330,91,RGO,425,B4,2,3,3,1,-2.22%,2.22%,0,0,60,6,2,GCG,NHR,RGO,RGO,,1
Peter Peckershine,389,277,Oliver Yu,286,173,1B,104,T5,0,0,3,1,5.36%,-5.36%,0,0,61,6,2,NHR,GCG,1B,1B,,1
Methuselah Saltalamacchia,2167,720,Oliver Yu,286,769,1B,49,T5,0,1,3,1,9.67%,-9.67%,0,0,61,6,2,NHR,GCG,1B,1B,,1
Lawrence Wiseman,380,612,Oliver Yu,286,99,DP,487,T5,0,4,3,1,-17.77%,17.77%,0,0,61,6,2,NHR,GCG,LGO,LGO,,1
Patrick Doyle,205,963,Oliver Yu,286,163,FO,200,T5,2,3,3,1,-5.58%,5.58%,0,0,61,6,2,NHR,GCG,FO,FO,,1
Gil Metz,206,420,Donked McToad,330,901,LGO,481,B5,0,0,3,1,-0.67%,0.67%,0,0,62,6,2,GCG,NHR,LGO,LGO,,1
Jamison Wells,2038,875,Donked McToad,330,123,FO,248,B5,1,0,3,1,-0.64%,0.64%,0,0,62,6,2,GCG,NHR,FO,FO,,1
Willie Dustice,288,54,Donked McToad,330,479,PO,425,B5,2,0,3,1,-0.51%,0.51%,0,0,62,6,2,GCG,NHR,PO,PO,,1
Robin Reynolds,371,254,Oliver Yu,286,962,K,292,T6,0,0,3,1,-3.81%,3.81%,0,0,63,6,2,NHR,GCG,K,K,,1
Ralph Smith,2028,41,Oliver Yu,286,495,LGO,454,T6,1,0,3,1,-2.88%,2.88%,0,0,63,6,2,NHR,GCG,LGO,LGO,,1
Red Trapper,453,41,Oliver Yu,286,763,K,278,T6,2,0,3,1,-1.67%,1.67%,0,0,63,6,2,NHR,GCG,K,K,,1
Dom Stakes,384,616,Levi Pyram,237,827,FO,211,T1,0,0,0,0,-2.51%,2.51%,0,0,64,7,3,GCG,MHM,FO,FO,,1
Jake Wilson,454,951,Levi Pyram,237,368,RGO,417,T1,1,0,0,0,-2.18%,2.18%,0,0,64,7,3,GCG,MHM,RGO,RGO,,1
Cook Froster,2033,555,Levi Pyram,237,104,LGO,451,T1,2,0,0,0,-1.76%,1.76%,0,0,64,7,3,GCG,MHM,LGO,LGO,,1
Thomas Nova,1,766,Owen Uridge,2058,808,HR,42,B1,0,0,0,0,11.79%,-11.79%,1,1,65,7,3,MHM,GCG,HR,HR,,1
Zed Leona,2004,415,Owen Uridge,2058,497,1B,82,B1,0,0,1,0,2.23%,-2.23%,0,1,65,7,3,MHM,GCG,1B,1B,,1
Julio Cesar,53,291,Owen Uridge,2058,499,FO,208,B1,0,1,1,0,-2.61%,2.61%,0,0,65,7,3,MHM,GCG,FO,FO,,1
Forrest Gleeson,51,862,Owen Uridge,2058,907,2B,45,B1,1,1,1,0,7.96%,-7.96%,0,0,65,7,3,MHM,GCG,2B,2B,,1
Larry Wayne,2053,10,Owen Uridge,2058,221,Sac,211,B1,1,6,1,0,0.86%,-0.86%,1,0,65,7,3,MHM,GCG,FO,FO,,1
Quentin Adams,397,,Owen Uridge,2058,177,FO,267,B1,2,2,2,0,-2.84%,2.84%,0,0,65,7,3,MHM,GCG,FO,FO,,1
Thomas Chiggins,16,678,Levi Pyram,237,917,FO,239,T2,0,0,2,0,-2.72%,2.72%,0,0,66,7,3,GCG,MHM,FO,FO,,1
Conrad Love,300,420,Levi Pyram,237,291,1B,129,T2,1,0,2,0,2.82%,-2.82%,0,1,66,7,3,GCG,MHM,1B,1B,,1
Frankson Ahtra,1959,837,Levi Pyram,237,616,FO,221,T2,1,1,2,0,-2.95%,2.95%,0,0,66,7,3,GCG,MHM,FO,FO,,1
Ovaltine Jenkins,404,,Levi Pyram,237,523,1B,49,T2,2,1,2,0,3.53%,-3.53%,0,0,66,7,3,GCG,MHM,1B,1B,,1
KC Bats,287,93,Levi Pyram,237,179,1B,86,T2,2,5,2,0,10.68%,-10.68%,1,0,66,7,3,GCG,MHM,1B,1B,,1
