Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Johnny Hendrix,600,786,Oliver Yu,286,677,1B,109,B2,2,1,1,0,2.25%,-2.25%,0,1,1,4,1,1,WWC,WSH,1B,1B,1B,1
Paddy O'Connor,549,551,Oliver Yu,286,500,2B,51,B2,2,5,1,0,16.96%,-16.96%,2,0,0,4,1,1,WWC,WSH,2B,2B,2B,1
Alex Peters,187,23,Oliver Yu,286,299,FO,276,B2,2,2,3,0,-2.51%,2.51%,0,0,0,4,1,1,WWC,WSH,FO,FO,FO,1
Joe Pidgeon,301,327,Johnny Hendrix,600,387,1B,60,T3,0,0,3,0,4.47%,-4.47%,0,0,1,5,1,1,WSH,WWC,1B,1B,2B,1
Joe Pidgeon,301,837,Johnny Hendrix,600,41,SB,204,T3,0,1,3,0,0.35%,-0.35%,0,1,0,5,1,1,WSH,WWC,Steal 2B,Steal 2B,SB,4
Phil Coulson,226,111,Johnny Hendrix,600,514,RGO,403,T3,0,2,3,0,0.39%,-0.39%,0,0,0,5,1,1,WSH,WWC,RGO,RGO,RGO,1
Charlie Bae Jr.,293,290,Johnny Hendrix,600,229,2B,61,T3,1,3,3,0,6.51%,-6.51%,1,0,0,5,1,1,WSH,WWC,2B,1B,2B,1
Chody McCarty,650,311,Johnny Hendrix,600,878,RGO,433,T3,1,2,3,1,-6.50%,6.50%,0,0,0,5,1,1,WSH,WWC,RGO,RGO,RGO,1
Conor Sexton,289,373,Johnny Hendrix,600,936,RGO,437,T3,2,3,3,1,-4.25%,4.25%,0,0,0,5,1,1,WSH,WWC,RGO,RGO,RGO,1
Francis Swagger,610,916,Oliver Yu,286,89,FO,173,B3,0,0,3,1,-1.38%,1.38%,0,0,0,6,1,1,WWC,WSH,FO,FO,BB,1
Ferret McGivins,1706,857,Oliver Yu,286,433,RGO,424,B3,1,0,3,1,-1.46%,1.46%,0,0,0,6,1,1,WWC,WSH,RGO,RGO,RGO,1
Guido Ligiorno,1830,777,Oliver Yu,286,904,1B,127,B3,2,0,3,1,0.63%,-0.63%,0,0,0,6,1,1,WWC,WSH,1B,1B,1B,1
Guido Ligiorno,1830,650,Oliver Yu,286,400,SB,250,B3,2,1,3,1,0.72%,-0.72%,0,0,0,6,1,1,WWC,WSH,Steal 2B,Steal 2B,SB,4
J.J. Guemes,207,405,Oliver Yu,286,900,LGO,495,B3,2,2,3,1,-2.56%,2.56%,0,0,0,6,1,1,WWC,WSH,LGO,LGO,LGO,1
Jeff Dingerhitter,298,333,Johnny Hendrix,600,961,K,372,T4,0,0,3,1,-3.51%,3.51%,0,0,0,7,1,1,WSH,WWC,K,K,K,1
Jack Ryan,2215,954,Johnny Hendrix,600,118,BB,164,T4,1,0,3,1,4.50%,-4.50%,0,1,1,7,1,1,WSH,WWC,BB,FO,BB,1
KC Bats,287,555,Johnny Hendrix,600,172,K,383,T4,1,1,3,1,-4.91%,4.91%,0,0,0,7,1,1,WSH,WWC,K,K,PO,1
Mitch Kramer,669,238,Johnny Hendrix,600,342,1B,104,T4,2,1,3,1,3.40%,-3.40%,0,0,0,7,1,1,WSH,WWC,1B,1B,1B,1
Joe Pidgeon,301,777,Johnny Hendrix,600,687,1B,90,T4,2,5,3,1,12.09%,-12.09%,1,0,0,7,1,1,WSH,WWC,1B,1B,1B,1
