Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Sandy Zipp,701,101,Derek Bongiovanni,109,185,1B,84,B6,0,0,0,5,1.05%,-1.05%,0,0,2391,203,14,OAK,HOU,1B,2B,1B,1
Shygen Tinybeard,712,812,Derek Bongiovanni,109,601,FO,211,B6,0,1,0,5,-1.03%,1.03%,0,0,2391,203,14,OAK,HOU,FO,FO,FO,1
Cal Otter,546,365,Derek Bongiovanni,109,903,DP,462,B6,1,1,0,5,-0.94%,0.94%,0,0,2391,203,14,OAK,HOU,LGO,LGO,DP,1
Joe Pidgeon,301,674,Petetholomew Jones,216,743,1B,69,T1,0,0,0,0,2.91%,-2.91%,0,0,2392,204,14,PHI,ATL,1B,2B,1B,1
KC Bats,287,99,Petetholomew Jones,216,674,DP,425,T1,0,1,0,0,-7.60%,7.60%,0,0,2392,204,14,PHI,ATL,LGO,LGO,DP,1
Billy McBeans,681,99,Petetholomew Jones,216,222,BB,123,T1,2,0,0,0,1.98%,-1.98%,0,1,2392,204,14,PHI,ATL,BB,1B,1B,1
Jeff Dingerhitter,298,438,Petetholomew Jones,216,500,2B,62,T1,2,1,0,0,12.86%,-12.86%,1,1,2392,204,14,PHI,ATL,2B,2B,2B,1
Miguel Snow,290,901,Petetholomew Jones,216,1,1B,100,T1,2,2,0,1,9.79%,-9.79%,1,0,2392,204,14,PHI,ATL,1B,1B,1B,1
Johnny Coppolella,738,154,Petetholomew Jones,216,333,FO,179,T1,2,1,0,2,-2.66%,2.66%,0,0,2392,204,14,PHI,ATL,FO,BB,FO,1
Sammy Tee,731,78,Joel Embiid,285,494,RGO,416,B1,0,0,0,2,-2.74%,2.74%,0,0,2393,204,14,ATL,PHI,RGO,RGO,RGO,1
Jake Blee,232,777,Joel Embiid,285,740,2B,37,B1,1,0,0,2,5.33%,-5.33%,0,0,2393,204,14,ATL,PHI,2B,2B,2B,1
Chad Kroeger,30,420,Joel Embiid,285,777,RGO,357,B1,1,2,0,2,-4.43%,4.43%,0,0,2393,204,14,ATL,PHI,RGO,RGO,K,1
Johnnie Twofingers,502,120,Joel Embiid,285,644,LGO,476,B1,2,3,0,2,-4.82%,4.82%,0,0,2393,204,14,ATL,PHI,LGO,LGO,LGO,1
Phil Coulson,226,734,Petetholomew Jones,216,221,LGO,487,T2,0,0,0,2,-1.70%,1.70%,0,0,2394,204,14,PHI,ATL,LGO,LGO,LGO,1
Chuck McCluster,296,739,Petetholomew Jones,216,762,HR,23,T2,1,0,0,2,8.88%,-8.88%,1,1,2394,204,14,PHI,ATL,HR,HR,HR,1
H.E. Pennypacker,577,303,Petetholomew Jones,216,222,1B,81,T2,1,0,0,3,1.17%,-1.17%,0,1,2394,204,14,PHI,ATL,1B,1B,1B,1
Joe Pidgeon,301,508,Petetholomew Jones,216,766,K,258,T2,1,1,0,3,-1.40%,1.40%,0,0,2394,204,14,PHI,ATL,K,K,FO,1
