Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Memento Mori,2365,716,Doc Otis,2256,756,2B,40,B4,2,0,10,7,0.71%,-0.71%,0,0,113,10,3,OAK,KCR,2B,2B,,1
Kared Jelenik,2327,220,Doc Otis,2256,666,LGO,446,B4,2,2,10,7,-1.23%,1.23%,0,0,113,10,3,OAK,KCR,LGO,LGO,,1
Sneky Snek,2638,900,Six,2474,462,RGO,438,T5,0,0,10,7,-2.30%,2.30%,0,0,114,10,3,KCR,OAK,RGO,RGO,,1
Davoin Shower-Handel,1949,183,Six,2474,277,1B,94,T5,1,0,10,7,2.76%,-2.76%,0,0,114,10,3,KCR,OAK,1B,1B,,1
Mattie Christewson,2598,589,Six,2474,42,DP,453,T5,1,1,10,7,-5.41%,5.41%,0,0,114,10,3,KCR,OAK,RGO,RGO,,1
Raylees D. Kraken,2225,911,Doc Otis,2256,899,HR,12,B5,0,0,10,7,1.67%,-1.67%,1,1,115,10,3,OAK,KCR,HR,HR,,1
Sid Houn,2258,830,Nicholas Fouss,1776,482,K,348,B5,0,0,11,7,-0.14%,0.14%,0,0,115,10,3,OAK,KCR,K,K,,1
Stu PunDous,2487,996,Nicholas Fouss,1776,37,2B,41,B5,1,0,11,7,0.27%,-0.27%,0,0,115,10,3,OAK,KCR,2B,2B,,1
Boots Poffenberger,2490,670,Nicholas Fouss,1776,819,BB,149,B5,1,2,11,7,0.01%,-0.01%,0,0,115,10,3,OAK,KCR,BB,BB,,1
Lloyd Gross,135,405,Nicholas Fouss,1776,674,FO,269,B5,1,4,11,7,-0.14%,0.14%,0,0,115,10,3,OAK,KCR,FO,FO,,1
"Dr. Chaos, Esq.",2495,318,Nicholas Fouss,1776,674,PO,356,B5,2,4,11,7,-0.38%,0.38%,0,0,115,10,3,OAK,KCR,PO,PO,,1
Connor Morgan,362,598,Six,2474,903,K,305,T6,0,0,11,7,-0.92%,0.92%,0,0,116,10,3,KCR,OAK,K,K,,1
Baron Butzenkatzen-Butzenkatzen,127,101,Six,2474,711,PO,390,T6,1,0,11,7,-0.54%,0.54%,0,0,116,10,3,KCR,OAK,PO,PO,,1
Indy Sayne,151,401,Six,2474,682,K,281,T6,2,0,11,7,-0.18%,0.18%,0,0,116,10,3,KCR,OAK,K,K,,1
Tuck,163,171,Sierra Hightower,776,803,RGO,368,T1,0,0,0,0,-2.51%,2.51%,0,0,117,11,4,LAD,OAK,RGO,RGO,,1
Jimmy Payne,2780,216,Sierra Hightower,776,477,FO,261,T1,1,0,0,0,-2.18%,2.18%,0,0,117,11,4,LAD,OAK,FO,FO,,1
Jocko Jones,295,669,Sierra Hightower,776,855,FO,186,T1,2,0,0,0,-1.76%,1.76%,0,0,117,11,4,LAD,OAK,FO,FO,,1
Queue Jay,272,350,Dill Doe,2735,975,K,375,B1,0,0,0,0,-2.48%,2.48%,0,0,118,11,4,OAK,LAD,K,K,,1
