Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Skork Hooker,786,823,Hans Zahn,2915,208,PO,385,T4,2,0,0,1,,,0,0,7,1,1,IDR,WRM,PO,PO,,,,,,1
King Kruul,2229,96,Ferdinand Fritzwilliam,3143,490,PO,394,B4,0,0,0,1,,,0,0,8,1,1,WRM,IDR,PO,PO,,,,,,1
William T. Striker,2867,477,Ferdinand Fritzwilliam,3143,611,BB,134,B4,1,0,0,1,,,0,0,8,1,1,WRM,IDR,BB,BB,,,,,,1
Tony Pizza,2844,13,Ferdinand Fritzwilliam,3143,87,1B,74,B4,1,1,0,1,,,0,0,8,1,1,WRM,IDR,1B,1B,,,,,,1
Butch Sterling,2992,20,Ferdinand Fritzwilliam,3143,200,FO,180,B4,1,4,0,1,,,0,0,8,1,1,WRM,IDR,FO,FO,,,,,,1
Doc Otis,2256,555,Ferdinand Fritzwilliam,3143,821,K,266,B4,2,4,0,1,,,0,0,8,1,1,WRM,IDR,K,K,,,,,,1
Elijah Walker,3107,485,Hans Zahn,2915,180,K,305,T5,0,0,0,1,,,0,0,9,1,1,IDR,WRM,K,K,,,,,,1
PickYrSpot n'Swing,3085,501,Hans Zahn,2915,101,PO,400,T5,1,0,0,1,,,0,0,9,1,1,IDR,WRM,PO,PO,,,,,,1
Pope Coswi,2327,341,Hans Zahn,2915,808,LGO,467,T5,2,0,0,1,,,0,0,9,1,1,IDR,WRM,LGO,LGO,,,,,,1
Philip Berkenshire,3137,670,Elijah Walker,3107,365,K,305,B5,0,0,0,1,,,0,0,10,1,1,WRM,IDR,K,K,,,,,,1
Saul Pewald,2708,247,Elijah Walker,3107,443,FO,196,B5,1,0,0,1,,,0,0,10,1,1,WRM,IDR,FO,FO,,,,,,1
Justin Time,2886,117,Elijah Walker,3107,122,HR,5,B5,2,0,0,1,,,1,1,10,1,1,WRM,IDR,HR,HR,,,,,3107,1
Archie 'Clumsy' Sybil,3093,555,Elijah Walker,3107,816,FO,261,B5,2,0,1,1,,,0,0,10,1,1,WRM,IDR,FO,FO,,,,,,1
Hakuna Moncada,2501,492,Hans Zahn,2915,231,K,261,T6,0,0,1,1,,,0,0,11,1,1,IDR,WRM,K,K,,,,,,1
Leland K. Cleveland,2679,205,Hans Zahn,2915,521,K,316,T6,1,0,1,1,,,0,0,11,1,1,IDR,WRM,K,K,,,,,,1
Bubson Dugnutt,3097,643,Hans Zahn,2915,18,PO,375,T6,2,0,1,1,,,0,0,11,1,1,IDR,WRM,PO,PO,,,,,,1
