Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Herbie Bucket,2667,829,Tuck,163,300,LGO,471,B6,2,0,1,4,-0.71%,0.71%,0,0,151,13,3,CDT,BAG,LGO,LGO,LGO,,,,,1
Zelk Antilles,490,327,Emerson,703,669,K,342,T1,0,0,0,0,-2.51%,2.51%,0,0,152,14,3,BLO,LAC,K,K,K,,,,,1
Chris P. Bacon,210,114,Emerson,703,327,FO,213,T1,1,0,0,0,-2.18%,2.18%,0,0,152,14,3,BLO,LAC,FO,FO,FO,,,,,1
Eijun Sawamura,2782,690,Emerson,703,585,1B,105,T1,2,0,0,0,1.98%,-1.98%,0,1,152,14,3,BLO,LAC,1B,1B,1B,,,,,1
Perry Platypus,2332,438,Emerson,703,388,2B,50,T1,2,1,0,0,12.86%,-12.86%,1,0,152,14,3,BLO,LAC,2B,2B,2B,,,703,,1
Tara Dactyl,252,704,Emerson,703,222,LGO,482,T1,2,2,0,1,-4.22%,4.22%,0,0,152,14,3,BLO,LAC,LGO,LGO,LGO,,,,,1
Mecha Vulfzilla,265,699,Dakota Carolina Montana,65,579,1B,120,B1,0,0,0,1,3.22%,-3.22%,0,0,153,14,3,LAC,BLO,1B,1B,1B,,,,,1
Holden Summers,10,342,Dakota Carolina Montana,65,733,DP,391,B1,0,1,0,1,-8.37%,8.37%,0,0,153,14,3,LAC,BLO,RGO,RGO,PO,,,,,1
Kevin James,2659,893,Dakota Carolina Montana,65,25,BB,132,B1,2,0,0,1,2.22%,-2.22%,0,0,153,14,3,LAC,BLO,BB,BB,1B,,,,,1
Kevin James,2659,525,Dakota Carolina Montana,65,685,SB,160,B1,2,1,0,1,1.31%,-1.31%,0,0,153,14,3,LAC,BLO,STEAL 2B,STEAL 2B,SB,,,,,4
Ferret McGivins,1706,226,Dakota Carolina Montana,65,713,LGO,487,B1,2,2,0,1,-5.41%,5.41%,0,0,153,14,3,LAC,BLO,LGO,LGO,LGO,,,,,1
BOOG,2648,777,Emerson,703,104,PO,327,T2,0,0,0,1,-2.27%,2.27%,0,0,154,14,3,BLO,LAC,PO,PO,K,,,,,1
Phil Coulson,226,121,Emerson,703,808,PO,313,T2,1,0,0,1,-2.02%,2.02%,0,0,154,14,3,BLO,LAC,PO,PO,K,,,,,1
Helen Hywater,2552,8,Emerson,703,42,2B,34,T2,2,0,0,1,2.77%,-2.77%,0,0,154,14,3,BLO,LAC,2B,2B,2B,,,,,1
Copenhagen Black,152,225,Emerson,703,901,PO,324,T2,2,2,0,1,-4.46%,4.46%,0,0,154,14,3,BLO,LAC,PO,PO,K,,,,,1
Heechul Kim,671,112,Dakota Carolina Montana,65,888,FO,224,B2,0,0,0,1,-3.11%,3.11%,0,0,155,14,3,LAC,BLO,FO,FO,FO,,,,,1
Chuck Tingle,355,442,Dakota Carolina Montana,65,363,1B,79,B2,1,0,0,1,3.03%,-3.03%,0,0,155,14,3,LAC,BLO,1B,1B,1B,,,,,1
