Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Emmett Michael,10,,Jayson Burdwell,282,,Auto K,,B1,0,0,0,0,-2.48%,2.48%,0,0,13,2,1,LAN,FTP,Auto K,Auto K,,9
Buck Armstrong,97,895,Jayson Burdwell,282,70,BB,175,B1,1,0,0,0,2.28%,-2.28%,0,1,13,2,1,LAN,FTP,BB,FO,,1
Spitz McGregor III,383,425,Jayson Burdwell,282,405,HR,20,B1,1,1,0,0,20.14%,-20.14%,2,1,13,2,1,LAN,FTP,HR,HR,,1
Lawrence Wiseman,380,922,Jayson Burdwell,282,499,RGO,423,B1,1,0,2,0,-1.43%,1.43%,0,0,13,2,1,LAN,FTP,RGO,RGO,,1
Anatoli Smorin,387,174,Jayson Burdwell,282,322,1B,148,B1,2,0,2,0,1.24%,-1.24%,0,1,13,2,1,LAN,FTP,1B,BB,,1
Merodach Baladan,100,295,Jayson Burdwell,282,200,1B,95,B1,2,1,2,0,1.67%,-1.67%,0,0,13,2,1,LAN,FTP,1B,1B,,1
Y.E. Wally,5,602,Jayson Burdwell,282,500,1B,102,B1,2,5,2,0,7.24%,-7.24%,1,0,13,2,1,LAN,FTP,1B,BB,,1
Tony McGooch,7,873,Jayson Burdwell,282,111,FO,238,B1,2,5,3,0,-2.76%,2.76%,0,0,13,2,1,LAN,FTP,FO,FO,,1
Chuck Tingle,355,393,Tim Spooneybarger,4,249,BB,144,T2,0,0,3,0,3.17%,-3.17%,0,0,14,2,1,FTP,LAN,BB,FO,,1
Miguel Snow,290,555,Tim Spooneybarger,4,23,DP,468,T2,0,1,3,0,-7.26%,7.26%,0,0,14,2,1,FTP,LAN,LGO,LGO,,1
Rekt Kiddo,331,731,Tim Spooneybarger,4,848,1B,117,T2,2,0,3,0,1.76%,-1.76%,0,0,14,2,1,FTP,LAN,1B,1B,,1
Grimm Carp,369,999,Tim Spooneybarger,4,848,1B,151,T2,2,1,3,0,3.31%,-3.31%,0,0,14,2,1,FTP,LAN,1B,BB,,1
Caleb Athen,325,347,Tim Spooneybarger,4,541,FO,194,T2,2,5,3,0,-6.25%,6.25%,0,0,14,2,1,FTP,LAN,FO,FO,,1
Mike Oxlittle,105,610,Jayson Burdwell,282,288,K,322,B2,0,0,3,0,-0.95%,0.95%,0,0,15,2,1,LAN,FTP,K,K,,1
Emmett Michael,10,670,Jayson Burdwell,282,902,BB,232,B2,1,0,3,0,0.91%,-0.91%,0,0,15,2,1,LAN,FTP,BB,FO,,1
Buck Armstrong,97,542,Jayson Burdwell,282,903,K,361,B2,1,1,3,0,-1.05%,1.05%,0,0,15,2,1,LAN,FTP,K,K,,1
Spitz McGregor III,383,450,Jayson Burdwell,282,200,FO,250,B2,2,1,3,0,-1.44%,1.44%,0,0,15,2,1,LAN,FTP,FO,K,,1
Caleb Aiken,324,355,Tim Spooneybarger,4,880,LGO,475,T3,0,0,3,0,-2.28%,2.28%,0,0,16,2,1,FTP,LAN,LGO,LGO,,1
Jayson Burdwell,282,300,Tim Spooneybarger,4,660,K,360,T3,1,0,3,0,-1.87%,1.87%,0,0,16,2,1,FTP,LAN,K,K,,1
Buzz Schwinghammer,367,322,Tim Spooneybarger,4,956,K,366,T3,2,0,3,0,-1.22%,1.22%,0,0,16,2,1,FTP,LAN,K,K,,1
Lawrence Wiseman,380,294,Jayson Burdwell,282,450,BB,156,B3,0,0,3,0,0.82%,-0.82%,0,1,17,2,1,LAN,FTP,BB,FO,,1
Anatoli Smorin,387,950,Jayson Burdwell,282,899,2B,51,B3,0,1,3,0,3.77%,-3.77%,0,1,17,2,1,LAN,FTP,2B,2B,,1
Merodach Baladan,100,654,Jayson Burdwell,282,789,1B,135,B3,0,6,3,0,1.50%,-1.50%,1,1,17,2,1,LAN,FTP,1B,BB,,1
Y.E. Wally,5,,Caleb Athen,325,,IBB,,B3,0,5,4,0,1.01%,-1.01%,0,1,17,2,1,LAN,FTP,IBB,IBB,,8
Tony McGooch,7,318,Caleb Athen,325,569,Sac,251,B3,0,7,4,0,-0.18%,0.18%,1,0,17,2,1,LAN,FTP,FO,FO,,1
Mike Oxlittle,105,258,Caleb Athen,325,56,BB,202,B3,1,4,5,0,1.20%,-1.20%,0,1,17,2,1,LAN,FTP,BB,FO,,1
Emmett Michael,10,252,Caleb Athen,325,981,Sac,271,B3,1,7,5,0,-0.11%,0.11%,1,0,17,2,1,LAN,FTP,FO,FO,,1
Buck Armstrong,97,242,Caleb Athen,325,252,HR,10,B3,2,4,6,0,1.20%,-1.20%,3,1,17,2,1,LAN,FTP,HR,HR,,1
Spitz McGregor III,383,678,Caleb Athen,325,911,FO,233,B3,2,0,9,0,0.01%,-0.01%,0,0,17,2,1,LAN,FTP,FO,FO,,1
Jeff Dingerhitter,298,311,Tim Spooneybarger,4,631,K,320,T4,0,0,9,0,-0.10%,0.10%,0,0,18,2,1,FTP,LAN,K,K,,1
Chuck Tingle,355,327,Tim Spooneybarger,4,320,HR,7,T4,1,0,9,0,0.18%,-0.18%,1,1,18,2,1,FTP,LAN,HR,HR,,1
Miguel Snow,290,837,Tim Spooneybarger,4,69,FO,232,T4,1,0,9,1,-0.13%,0.13%,0,0,18,2,1,FTP,LAN,FO,K,,1
Rekt Kiddo,331,666,Tim Spooneybarger,4,64,K,398,T4,2,0,9,1,-0.05%,0.05%,0,0,18,2,1,FTP,LAN,K,K,,1
Lawrence Wiseman,380,789,Caleb Athen,325,796,HR,7,B4,0,0,9,1,0.11%,-0.11%,1,1,19,2,1,LAN,FTP,HR,HR,,1
Anatoli Smorin,387,420,Caleb Athen,325,500,1B,80,B4,0,0,10,1,-0.06%,0.06%,0,1,19,2,1,LAN,FTP,1B,1B,,1
Merodach Baladan,100,21,Caleb Athen,325,920,1B,101,B4,0,1,10,1,0.06%,-0.06%,0,1,19,2,1,LAN,FTP,1B,1B,,1
Y.E. Wally,5,341,Caleb Athen,325,920,K,421,B4,0,4,10,1,0.02%,-0.02%,0,0,19,2,1,LAN,FTP,K,K,,1
Tony McGooch,7,222,Caleb Athen,325,642,K,420,B4,1,4,10,1,-0.09%,0.09%,0,0,19,2,1,LAN,FTP,K,PO,,1
