Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Frederick Thunderpants,2371,810,LaCarpetron Dukemarriot,775,100,K,290,B3,0,1,2,0,-0.73%,0.73%,0,0,0,22,3,2,GT,NEB,K,K,K,1
Dick Sledge,2367,880,LaCarpetron Dukemarriot,775,573,K,307,B3,1,1,2,0,-0.58%,0.58%,0,0,0,22,3,2,GT,NEB,K,K,K,1
Theo Rodder,2353,69,LaCarpetron Dukemarriot,775,806,K,263,B3,2,1,2,0,-1.12%,1.12%,0,0,0,22,3,2,GT,NEB,K,K,FO,1
Fredrick Pabst,2343,154,Arm N. Hammer,326,699,LGO,455,T4,0,0,2,0,-3.81%,3.81%,0,0,0,23,3,2,NEB,GT,LGO,LGO,LGO,1
Cybeast Falzar,2344,473,Arm N. Hammer,326,450,2B,23,T4,1,0,2,0,7.24%,-7.24%,0,1,1,23,3,2,NEB,GT,2B,2B,HR,1
Richard Avery,2291,313,Arm N. Hammer,326,957,PO,356,T4,1,2,2,0,-6.63%,6.63%,0,0,0,23,3,2,NEB,GT,PO,PO,K,1
Bosephis Alexander,2355,345,Arm N. Hammer,326,356,3B,11,T4,2,2,2,0,8.41%,-8.41%,1,0,0,23,3,2,NEB,GT,3B,3B,HR,1
Speven McDinkims,2364,112,Arm N. Hammer,326,900,FO,212,T4,2,3,2,1,-13.57%,13.57%,0,0,0,23,3,2,NEB,GT,FO,FO,FO,1
Roidy Magoo,2354,256,MELTZ Slander,2335,13,FO,243,T1,0,0,0,0,-3.03%,3.03%,0,0,0,24,4,2,GEO,OSU,FO,K,FO,1
God Carew,1827,791,MELTZ Slander,2335,324,LGO,467,T1,1,0,0,0,-2.74%,2.74%,0,0,0,24,4,2,GEO,OSU,LGO,LGO,LGO,1
Nate Park,2376,175,MELTZ Slander,2335,386,FO,211,T1,2,0,0,0,-2.31%,2.31%,0,0,0,24,4,2,GEO,OSU,FO,K,FO,1
Memento Mori,2365,593,Obama But White,2372,500,1B,93,B1,0,0,0,0,3.09%,-3.09%,0,0,0,25,4,2,OSU,GEO,1B,1B,1B,1
Patrick Stump,2173,650,Obama But White,2372,939,K,289,B1,0,1,0,0,-3.46%,3.46%,0,0,0,25,4,2,OSU,GEO,K,K,K,1
Michael Pizza,2388,457,Obama But White,2372,766,K,309,B1,1,1,0,0,-3.10%,3.10%,0,0,0,25,4,2,OSU,GEO,K,K,K,1
Briek Vermeesch,2366,255,Obama But White,2372,865,PO,390,B1,2,1,0,0,-4.64%,4.64%,0,0,0,25,4,2,OSU,GEO,PO,PO,PO,1
Noah Clemens,2341,420,MELTZ Slander,2335,468,2B,48,T2,0,0,0,0,8.83%,-8.83%,0,1,1,26,4,2,GEO,OSU,2B,2B,2B,1
Theodore Charmsek,2368,666,MELTZ Slander,2335,679,3B,13,T2,0,2,0,0,18.81%,-18.81%,1,1,1,26,4,2,GEO,OSU,3B,3B,HR,1
Hugh Jass,2357,890,MELTZ Slander,2335,657,Sac,233,T2,0,3,0,1,1.08%,-1.08%,1,0,0,26,4,2,GEO,OSU,FO,K,Sac,1
Randy Scrub,2385,690,MELTZ Slander,2335,658,2B,32,T2,1,0,0,2,2.88%,-2.88%,0,1,1,26,4,2,GEO,OSU,2B,3B,2B,1
Robben Banks,2380,941,MELTZ Slander,2335,112,BB,171,T2,1,2,0,2,0.54%,-0.54%,0,1,1,26,4,2,GEO,OSU,BB,K,BB,1
Tremendous Masters,2359,345,MELTZ Slander,2335,332,HR,13,T2,1,4,0,2,13.78%,-13.78%,3,1,1,26,4,2,GEO,OSU,HR,HR,HR,1
Roidy Magoo,2354,777,MELTZ Slander,2335,977,FO,200,T2,1,0,0,5,-0.27%,0.27%,0,0,0,26,4,2,GEO,OSU,FO,K,FO,1
God Carew,1827,233,MELTZ Slander,2335,234,HR,1,T2,2,0,0,5,2.01%,-2.01%,1,1,1,26,4,2,GEO,OSU,HR,HR,HR,1
Nate Park,2376,696,MELTZ Slander,2335,234,LGO,462,T2,2,0,0,6,-0.14%,0.14%,0,0,0,26,4,2,GEO,OSU,LGO,LGO,LGO,1
Boots Malarkey,2383,340,Obama But White,2372,856,LGO,484,B2,0,0,0,6,-0.69%,0.69%,0,0,0,27,4,2,OSU,GEO,LGO,LGO,LGO,1
Betardo Carrero,2394,890,Obama But White,2372,950,1B,60,B2,1,0,0,6,0.75%,-0.75%,0,0,1,27,4,2,OSU,GEO,1B,1B,2B,1
Betardo Carrero,2394,200,Obama But White,2372,481,SB,281,B2,1,1,0,6,0.27%,-0.27%,0,1,0,27,4,2,OSU,GEO,Steal 2B,Steal 2B,SB,4
Grice Maxim,2392,750,Obama But White,2372,345,K,405,B2,1,2,0,6,-1.04%,1.04%,0,0,0,27,4,2,OSU,GEO,K,K,RGO,1
Perry Platypus,2332,75,Obama But White,2372,159,1B,84,B2,2,2,0,6,1.46%,-1.46%,1,0,0,27,4,2,OSU,GEO,1B,1B,1B,1
Smoke Anderson,1839,989,Obama But White,2372,716,K,273,B2,2,1,1,6,-1.17%,1.17%,0,0,0,27,4,2,OSU,GEO,K,K,FO,1
Noah Clemens,2341,666,Mecha Godzilla,265,940,K,274,T3,0,0,1,6,-0.18%,0.18%,0,0,0,28,4,2,GEO,OSU,K,K,FO,1
