Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
CIN,KCR,8200,8,S8,14,0,0,1,1,2,0,5,5,0,0,2,3,3,0,0,2,3,19,0,0,-3.89414488918293,-0.316602982569426,-0.2494999999999999,Home
CIN,KCR,9078,9,S9,6,1,0,1,4,0,0,2,5,1,3,2,3,1,0,0,6,10,22,1,1,-2.8890314304041054,-0.2105271753127884,-0.3332,Away
CIN,LAD,4059,4,S4,4,2,0,2,2,3,0,1,6,1,6,2,2,1,1,0,6,14,26,2,2,-1.3376534788540246,-0.0338236410693536,-0.3186,Away
CIN,LAD,5208,5,S5,14,0,0,0,4,6,0,6,5,0,3,2,1,1,1,0,4,4,27,1,1,-2.8626005361930296,-0.1777770330869073,-0.2445,Away
CIN,LAD,6073,6,S6,5,0,0,3,5,2,0,1,5,0,5,2,1,1,0,0,8,11,24,1,1,-1.8559322033898304,-0.0933042819615363,-0.1286999999999999,Home
CIN,LAD,7102,7,S7,7,1,0,2,0,0,0,5,5,0,3,1,1,0,0,0,3,8,18,1,1,-2.0795377294357578,-0.1363183374494553,-0.1074,Home
CIN,LAD,9142,9,S9,10,1,0,0,2,5,0,5,1,0,0,3,5,1,0,0,3,6,22,1,1,-2.2408595253367545,-0.1457099848060534,-0.1192999999999999,Home
CIN,LAD,10125,10,S10,9,1,0,0,2,0,0,3,2,0,7,1,4,0,0,1,3,6,20,2,2,-1.6092544987146526,-0.0830854076166228,-0.1179999999999999,Home
CIN,LAD,11184,11,S11,13,1,0,1,5,2,0,3,5,0,2,1,5,1,0,0,7,11,25,4,4,0.5744389061138595,0.1480029224565543,0.2863,Home
CIN,MIL,2124,2,S2,12,1,0,4,6,6,0,5,5,2,1,3,2,2,0,0,11,18,33,8,7,4.3729987018606655,0.5650983308809433,-0.2042,Away
CIN,MIL,4133,4,S4,9,1,2,0,3,2,0,4,3,0,1,5,1,1,0,0,6,13,22,3,3,0.2186221009549796,0.1032961934270932,0.1178,Home
CIN,MIL,4239,4,S4,16,1,0,1,3,2,0,2,6,1,7,3,0,0,1,0,5,9,25,1,1,-2.3376534788540244,-0.1375251857662444,-0.1997999999999999,Away
CIN,MIL,5088,5,S5,6,1,0,2,4,0,0,5,5,0,1,6,6,0,0,1,7,12,30,4,4,-3.200851115868411,-0.1999789102831173,-0.0503,Away
CIN,MIL,5193,5,S5,13,2,0,3,1,2,0,6,7,2,0,3,2,0,0,0,6,15,26,3,3,-0.8626005361930296,0.0144741797322073,-0.1545,Home
CIN,MIL,6033,6,S6,3,3,0,2,3,5,0,4,6,1,4,1,3,0,2,0,8,19,31,7,7,3.572881355932204,0.4841854258622097,0.5679999999999998,Away
CIN,MIL,6168,6,S6,12,2,1,1,0,3,0,4,3,0,1,5,4,0,0,0,4,13,24,4,4,1.001452784503632,0.1924342168278099,0.1977999999999999,Home
CIN,MIL,7033,7,S7,3,3,0,2,4,0,0,3,4,0,8,2,1,0,0,0,9,20,27,6,6,2.3045547246770908,0.3379086257088897,0.1972999999999999,Away
