Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
CIM,POR,6004,6.0,S6,1,1,1,2,4,7,0,7,7,0,1,2,3,1,0,0,8,15,35,8,8,3.7734056987788325,0.4793237612236877,0.47569999999999985,Away
CIN,BER,3001,3.0,S3,1,5,2,1,2,2,0,4,8,0,2,0,1,0,0,0,10,30,27,8,8,1.8749999999999996,0.24646551724137936,0.0,Home
CIN,LAN,3003,3.0,S3,2,2,0,4,4,6,0,3,9,0,2,0,3,1,0,0,10,20,33,7,7,-0.35000000000000053,0.0370689655172414,0.0,Home
CRN,KIR,10001,10.0,S10,1,4,0,2,0,1,0,3,5,0,4,3,2,1,0,0,6,20,24,5,5,1.7142857142857142,0.25576994434137296,0.3088,Away
CRN,SEO,10003,10.0,S10,2,2,0,4,2,3,0,2,5,0,6,2,4,0,3,0,8,18,31,4,4,0.1666666666666663,0.13615027829313542,0.27709999999999996,Away
DDD,LMN,4007,4.0,S4,3,0,1,0,0,2,0,1,12,0,1,0,3,1,0,0,1,3,20,1,0,-3.3058823529411763,-0.2698713410865779,-0.5355000000000001,Home
DDD,PDB,4002,4.0,S4,1,3,0,2,0,6,0,3,5,2,1,3,0,1,0,0,5,16,23,6,6,3.5784313725490193,0.4276675655935727,0.6859999999999998,Home
DDD,PGA,4005,4.0,S4,2,0,2,4,7,1,0,4,1,0,1,4,4,1,0,0,13,21,28,10,10,6.411764705882353,0.7261801224787909,0.3454999999999999,Home
DDD,PQD,12002,12.0,S12,1,2,0,1,2,1,0,5,6,0,3,2,3,1,0,1,5,12,25,2,2,-1.666666666666667,-0.09115079365079364,-0.025699999999999987,Away
DOG,SHH,11002,11.0,S11,1,2,0,3,1,3,0,2,12,0,1,1,2,0,0,0,6,15,27,7,7,2.846153846153846,0.36030090497737555,0.0,Away
DOG,WRM,11003,11.0,S11,2,2,0,1,1,4,0,3,5,0,6,1,2,0,0,0,4,11,25,3,3,-1.153846153846154,-0.04530542986425343,0.0,Away
EEE,LMN,4003,4.0,S4,1,1,1,5,2,5,0,5,6,0,1,1,3,2,0,0,9,19,30,6,6,1.694117647058823,0.26048710601719194,-0.14240000000000005,Home
FAP,BBB,7003,7.0,S7,1,4,0,2,1,5,1,2,7,1,2,2,2,0,0,0,7,21,27,7,7,4.313432835820895,0.5296049969930566,0.0,Home
FAP,SSJ,7010,7.0,S7,3,0,0,1,6,1,0,3,1,0,7,1,6,0,0,0,7,8,26,1,1,-2.2238805970149254,-0.12776566900945008,0.0,Away
FAP,WSW,7006,7.0,S7,2,2,1,1,2,2,0,8,6,0,0,2,4,1,0,0,6,15,28,3,3,-1.6854190585533873,-0.06664086972544685,-0.007900000000000072,Away
FRG,TTT,6008,6.0,S6,2,1,0,0,4,1,0,7,6,0,0,3,1,1,0,0,5,8,23,1,1,-2.044776119402985,-0.13746008619876984,-0.37460000000000004,Home
FTP,LAN,3002,3.0,S3,1,1,0,1,3,2,0,3,9,0,1,1,3,1,0,0,5,9,24,1,1,-6.3500000000000005,-0.5825862068965517,0.0,Away
HEL,TTT,6003,6.0,S6,1,1,0,1,0,4,0,2,8,1,5,2,1,0,0,0,2,6,24,2,2,-1.044776119402985,-0.03454628073174687,-0.3833999999999999,Away
IDR,WRM,11001,11.0,S11,1,0,0,1,3,3,0,5,7,0,5,3,1,0,2,0,4,5,28,1,1,-3.846153846153846,-0.3005203619909502,0.0,Away
ISO,KRB,5002,5.0,S5,1,1,0,2,3,1,0,3,3,0,6,2,3,1,0,0,6,11,24,2,2,-1.1851851851851851,-0.02154212692224391,-0.3183,Away
