Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
SAS,BAC,6006,6.0,S6,2,1,1,1,1,0,0,0,3,2,3,4,5,1,0,0,4,21,6.0,2,-1.0447761194029854,0.21580135833500158,0.3655,13,11,Away
SAS,CBC,6009,6.0,S6,3,1,1,4,4,3,0,0,3,3,1,2,4,2,0,0,10,26,5.0,6,3.4626865671641798,-0.20843925641821417,0.0,10,6,Away
SAS,SGP,6002,6.0,S6,1,0,1,0,5,2,0,0,5,5,1,3,3,1,0,0,6,25,6.0,2,-1.0447761194029852,0.2370058814578022,0.249,9,5,Home
SCG,SSC,7009,7.0,S7,3,1,0,1,2,4,2,0,5,3,2,4,4,0,2,0,4,26,6.0,3,-0.22388059701492535,0.1432030729543167,0.0,9,5,Home
SCG,STK,7005,7.0,S7,2,1,2,2,3,5,0,0,3,8,1,3,2,0,2,1,8,30,6.0,5,2.776119402985074,-0.13522281753625037,-0.20539999999999997,9,4,Home
SCR,SEF,12001,12.0,S12,1,3,0,2,2,5,0,0,3,7,1,4,1,1,2,1,7,28,6.0,7,3.8571428571428568,-0.23132936507936502,-0.2824,12,6,Home
SCU,MOB,8501,8.2,S8B,1,0,0,4,0,2,0,0,5,3,0,4,5,1,0,0,4,23,6.0,1,-4.846153846153847,0.6623743359607236,0.0,10,5,Home
SCU,NUT,8503,8.2,S8B,2,4,0,4,3,5,1,0,11,2,2,3,2,1,2,0,11,36,7.0,11,2.4038461538461533,0.053304086838118346,0.0,6,2,Home
SEF,PQD,12003,12.0,S12,2,0,0,3,3,4,0,0,5,3,6,1,2,1,0,0,6,27,6.0,3,-0.1428571428571428,0.14875,0.40569999999999984,10,3,Away
SEF,SCR,12001,12.0,S12,1,2,0,1,2,0,0,0,3,6,5,2,2,0,0,0,5,23,6.0,2,-1.142857142857143,0.22882936507936508,0.2176,8,6,Away
SEO,ACK,10002,10.0,S10,1,0,0,2,2,3,0,0,2,1,2,6,4,1,0,0,4,23,6.0,1,-2.285714285714286,0.3314455782312925,0.3508,12,10,Away
