ID,Name,League,Season,Session,Game ID,Team,Notes
416,,MLR,2,10,108,TEX,Fielding Replacement
417,,MiLR,6,12,164,TAK,Pinch hit for in B2
417,,MiLR,6,14,192,TAK,Pinch hit for in B3
419,,MiLR,3,13,50,CIN,Fielding Replacement
421,,MLR,6,13,187,CLE,Fielding Replacement
423,,MLR,3,14,157,TEX,Pinch hit for in T2
423,,MLR,5,6,82,TEX,Pinch hit for in T2
424,,MiLR,3,10,37,LAN,Pinch hit for in T3
429,,MLR,1,4,22,OAK,Pinch hit for in T2
429,,MLR,3,3,28,ARI,Pinch hit for in B2
430,,MLR,3,5,57,HOU,Pinch hit for in B2
432,Rumple Foreskin,MLR,3,1,4,LAA,Pinch hit for in B2
433,,MLR,3,3,30,MIA,Pinch hit for in T3
434,,MLR,3,2,23,ARI,Pinch hit for in B1
434,,MLR,3,4,47,ARI,Pinch hit for in T2
435,,MLR,3,5,50,ARI,Fielding Replacement
435,,MLR,3,7,82,ARI,Pinch hit for in T3
439,,MiLR,6,4,53,TTT,Pinch hit for in B3
439,,MiLR,6,5,68,TTT,Pinch hit for in T2
439,,MLR,5,14,197,TBR,Pinch hit for in T2
441,,MLR,3,1,8,LAD,Pinch hit for in B1
441,,MLR,3,9,102,LAD,Pinch hit for in B1
441,,MLR,3,11,123,LAD,Pinch hit for in B2
443,,MLR,3,7,78,PIT,Pinch hit for in B2
453,,MLR_Playoff,2,2,6,TB,Fielding Replacement
454,,MLR,3,4,46,PHI,Pinch hit for in B3
457,,MLR,3,4,47,ARI,"Fielding Replacement, Pinch hit for in T5"
460,,MLR,3,3,27,SDP,Pinch hit for in T2
461,,LLR,1,4,13,VEN,Pinch hit for in T2
463,,LLR,1,3,9,CAL,Replaced in T2
465,Robert Callahan,MLR,3,6,65,HOU,Pinch hit for in T3
465,,MLR,3,8,88,TOR,Pinch hit for in B2
471,,GIB,3,6,21,GIB,Fielding Replacement
478,,MiLR,7,2,12,WSW,"Fielding Replacement, Pinch hit for in B6"
479,,MLR,4,9,122,SFG,Pinch hit for in B2
479,,MLR,4,13,189,SFG,Pinch hit for in T3
