Line ID,Batting Team's Score:,,,,,"Win Probability, slightly edited",,,,,,,,,,,,,,,,,,,,
,Inning,Top/Bot,OBC,Outs,Inning&OBC&Outs,-10+,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10+
65,2,1,5,2,2152,0.25%,1.72%,1.63%,3.29%,4.39%,8.42%,11.99%,18.63%,26.84%,37.52%,50.21%,63.27%,73.74%,82.24%,88.39%,92.24%,95.18%,97.23%,98.51%,98.87%,99.32%
66,2,1,6,0,2160,0.50%,1.00%,2.00%,6.77%,9.35%,16.79%,24.82%,32.67%,43.78%,55.14%,66.69%,76.45%,84.14%,89.56%,93.46%,96.22%,97.49%,99.32%,100.00%,98.81%,100.00%
67,2,1,6,1,2161,0.25%,0.75%,1.39%,5.58%,9.71%,12.34%,18.00%,25.89%,37.00%,48.80%,60.34%,71.46%,80.30%,87.25%,91.86%,95.05%,97.65%,98.42%,98.29%,98.68%,100.00%
68,2,1,6,2,2162,0.10%,0.50%,1.00%,3.33%,4.58%,10.87%,11.98%,18.12%,28.33%,39.26%,50.80%,63.62%,74.59%,83.09%,88.93%,93.53%,96.32%,97.70%,97.04%,98.01%,100.00%
69,2,1,7,0,2170,0.25%,1.00%,3.92%,4.81%,12.90%,18.64%,25.42%,36.75%,47.07%,58.28%,69.20%,78.27%,85.21%,90.49%,94.36%,96.59%,98.02%,100.00%,100.00%,100.00%,100.00%
70,2,1,7,1,2171,0.10%,0.75%,3.74%,7.17%,9.62%,14.70%,21.73%,30.34%,41.02%,51.97%,62.76%,73.08%,81.31%,87.64%,92.24%,95.09%,97.16%,98.73%,99.36%,99.74%,100.00%
71,2,1,7,2,2172,0.00%,0.50%,2.50%,5.53%,5.87%,9.80%,15.33%,21.70%,30.59%,41.46%,53.61%,65.65%,75.75%,83.53%,89.23%,93.50%,96.02%,98.02%,98.91%,99.32%,100.00%
72,2,2,0,0,2200,0.34%,0.86%,1.82%,3.03%,5.39%,8.66%,13.70%,20.92%,30.65%,43.02%,57.12%,70.45%,80.49%,87.62%,92.55%,95.58%,97.38%,98.38%,99.34%,99.52%,100.00%
73,2,2,0,1,2201,0.27%,0.66%,1.47%,2.36%,4.33%,7.25%,11.72%,18.39%,27.71%,39.91%,54.40%,68.45%,79.07%,86.67%,91.89%,95.26%,97.16%,98.34%,99.31%,99.49%,99.74%
74,2,2,0,2,2202,0.18%,0.46%,1.20%,1.94%,3.49%,6.07%,10.21%,16.36%,25.18%,37.22%,52.02%,66.62%,77.74%,85.78%,91.34%,94.90%,96.95%,98.27%,99.07%,99.54%,99.75%
75,2,2,1,0,2210,0.51%,1.17%,2.49%,3.95%,6.90%,10.67%,16.58%,24.21%,34.25%,46.63%,60.06%,72.47%,82.01%,88.67%,93.02%,95.88%,97.76%,98.21%,99.14%,99.76%,100.00%
76,2,2,1,1,2211,0.48%,1.35%,2.06%,3.03%,5.71%,8.77%,13.77%,20.94%,30.69%,42.94%,56.87%,70.23%,80.32%,87.58%,92.43%,95.58%,97.40%,98.43%,99.17%,99.59%,99.67%
77,2,2,1,2,2212,0.13%,0.70%,1.43%,2.49%,4.40%,7.10%,11.77%,18.37%,27.37%,39.78%,54.09%,68.22%,78.85%,86.53%,91.92%,95.14%,97.08%,98.32%,99.15%,99.13%,99.80%
78,2,2,2,0,2220,0.61%,0.94%,2.33%,4.68%,7.82%,12.32%,18.73%,27.45%,38.15%,50.89%,63.89%,75.35%,84.06%,89.77%,94.06%,96.21%,97.75%,98.87%,99.46%,100.00%,100.00%
79,2,2,2,1,2221,0.34%,0.54%,1.58%,3.27%,6.14%,9.95%,15.11%,22.97%,33.46%,45.79%,59.46%,72.16%,81.67%,88.41%,93.14%,96.08%,97.55%,98.25%,99.36%,99.64%,99.54%
80,2,2,2,2,2222,0.11%,0.45%,1.14%,2.47%,4.42%,7.47%,12.07%,18.87%,28.88%,41.07%,55.42%,69.19%,79.49%,87.15%,92.18%,95.48%,97.23%,98.45%,99.16%,99.57%,99.68%
81,2,2,3,0,2230,0.50%,1.92%,2.75%,5.32%,8.11%,12.89%,20.57%,30.06%,41.42%,54.25%,68.30%,78.46%,86.77%,91.74%,95.56%,97.03%,98.83%,99.48%,99.58%,98.96%,100.00%
82,2,2,3,1,2231,0.37%,0.84%,2.19%,3.52%,6.47%,10.33%,17.05%,25.56%,36.39%,49.52%,63.20%,75.13%,83.74%,90.45%,94.02%,96.62%,98.34%,98.86%,99.14%,99.67%,99.12%
83,2,2,3,2,2232,0.00%,0.63%,1.94%,2.80%,4.58%,7.79%,12.36%,19.47%,28.55%,41.26%,55.50%,69.31%,79.86%,87.37%,92.22%,95.38%,97.31%,98.58%,99.19%,99.30%,99.83%
84,2,2,4,0,2240,0.96%,0.77%,4.02%,6.60%,9.63%,14.84%,22.56%,30.89%,41.39%,53.26%,65.53%,76.31%,84.78%,90.40%,93.92%,96.00%,98.40%,98.81%,98.92%,100.00%,100.00%
85,2,2,4,1,2241,1.26%,1.63%,2.35%,4.47%,7.83%,11.90%,17.65%,26.04%,35.95%,47.95%,60.93%,73.16%,82.45%,88.97%,92.92%,95.92%,97.86%,98.49%,99.73%,99.69%,100.00%
86,2,2,4,2,2242,0.65%,1.53%,1.18%,3.31%,5.97%,9.11%,13.82%,21.74%,31.07%,43.27%,57.00%,70.32%,80.23%,87.51%,92.35%,95.53%,97.12%,98.61%,99.32%,99.15%,99.79%
