Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Dick Sledge,2367,69.0,Mazy Loron,2345,800.0,K,269.0,B3,1,0,1,4,-2.15%,2.15%,0,0,0,45,6,3,GT,OSU,K,K,FO,1
Bad Mulligan,2350,369.0,Mazy Loron,2345,626.0,K,257.0,B3,2,0,1,4,-1.42%,1.42%,0,0,0,45,6,3,GT,OSU,K,K,FO,1
Boots Malarkey,2383,650.0,Old Hoss Radbourne,2362,711.0,2B,61.0,T4,0,0,1,4,2.40%,-2.40%,0,0,0,46,6,3,OSU,GT,2B,2B,2B,1
MELTZ Slander,2335,650.0,Old Hoss Radbourne,2362,400.0,FO,250.0,T4,0,2,1,4,-1.84%,1.84%,0,0,0,46,6,3,OSU,GT,FO,FO,FO,1
Large Attractive,2452,69.0,Old Hoss Radbourne,2362,400.0,PO,331.0,T4,1,2,1,4,-1.33%,1.33%,0,0,0,46,6,3,OSU,GT,PO,PO,K,1
Edge Rocks,2281,711.0,Old Hoss Radbourne,2362,69.0,RGO,358.0,T4,2,2,1,4,-1.86%,1.86%,0,0,0,46,6,3,OSU,GT,RGO,RGO,K,1
Gerald McCoy,2389,734.0,Mecha Godzilla,265,114.0,RGO,380.0,B4,0,0,1,4,-2.76%,2.76%,0,0,0,47,6,3,GT,OSU,RGO,RGO,PO,1
Pancake Blankenship,2346,629.0,Mecha Godzilla,265,826.0,FO,197.0,B4,1,0,1,4,-2.21%,2.21%,0,0,0,47,6,3,GT,OSU,FO,FO,FO,1
Anthony Billanti,2379,402.0,Mecha Godzilla,265,520.0,1B,118.0,B4,2,0,1,4,2.17%,-2.17%,0,0,0,47,6,3,GT,OSU,1B,1B,1B,1
Troy Pressing,2282,69.0,Mecha Godzilla,265,690.0,RGO,379.0,B4,2,1,1,4,-3.63%,3.63%,0,0,0,47,6,3,GT,OSU,RGO,RGO,PO,1
Smoke Anderson,1839,70.0,Richard Northstar,275,802.0,K,268.0,T1,0,0,0,0,-2.51%,2.51%,0,0,0,48,7,4,OSU,GEO,K,K,FO,1
Perry Platypus,2332,998.0,Richard Northstar,275,666.0,K,332.0,T1,1,0,0,0,-2.18%,2.18%,0,0,0,48,7,4,OSU,GEO,K,K,K,1
Egor Kucherov,2342,464.0,Richard Northstar,275,597.0,BB,133.0,T1,2,0,0,0,1.98%,-1.98%,0,0,0,48,7,4,OSU,GEO,BB,BB,1B,1
Edge Rocks,2281,343.0,Richard Northstar,275,478.0,BB,135.0,T1,2,1,0,0,2.81%,-2.81%,0,0,0,48,7,4,OSU,GEO,BB,BB,1B,1
Betardo Carrero,2394,966.0,Richard Northstar,275,374.0,K,408.0,T1,2,4,0,0,-6.55%,6.55%,0,0,0,48,7,4,OSU,GEO,K,K,RGO,1
Noah Clemens,2341,869.0,Mecha Godzilla,265,123.0,K,254.0,B1,0,0,0,0,-2.48%,2.48%,0,0,0,49,7,4,GEO,OSU,K,K,FO,1
