Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral
Matt Taylor,780,566.0,Derek Bongiovanni,109,766.0,FO,200.0,T1,1,0,0,0,-2.52%,2.52%,0,0,2734,233,16,CLE,HOU,FO,FO,FO
Randy Townsend,648,115.0,Derek Bongiovanni,109,960.0,FO,155.0,T1,2,0,0,0,-1.74%,1.74%,0,0,2734,233,16,CLE,HOU,FO,FO,BB
Rocco Rudnikov,114,609.0,Mason Miller,270,284.0,K,325.0,B1,0,0,0,0,-2.73%,2.73%,0,0,2735,233,16,HOU,CLE,K,RGO,K
Riles McGiles,122,888.0,Mason Miller,270,211.0,PO,323.0,B1,1,0,0,0,-2.27%,2.27%,0,0,2735,233,16,HOU,CLE,PO,RGO,K
Fuzzy Spit,501,281.0,Mason Miller,270,459.0,FO,178.0,B1,2,0,0,0,-1.79%,1.79%,0,0,2735,233,16,HOU,CLE,FO,FO,FO
Joshua Jones,553,101.0,Derek Bongiovanni,109,107.0,HR,6.0,T2,0,0,0,0,11.87%,-11.87%,1,1,2736,233,16,CLE,HOU,HR,HR,HR
Hefe Rojo,472,377.0,Derek Bongiovanni,109,865.0,LGO,488.0,T2,0,0,0,1,-2.62%,2.62%,0,0,2736,233,16,CLE,HOU,LGO,LGO,LGO
Biff Studd,254,649.0,Derek Bongiovanni,109,583.0,1B,66.0,T2,1,0,0,1,3.05%,-3.05%,0,1,2736,233,16,CLE,HOU,1B,1B,1B
Baron Harold Willingsby,765,111.0,Derek Bongiovanni,109,66.0,2B,45.0,T2,1,1,0,1,9.67%,-9.67%,0,1,2736,233,16,CLE,HOU,2B,2B,2B
Hingle McCringleberry,257,199.0,Derek Bongiovanni,109,289.0,1B,90.0,T2,1,6,0,1,5.61%,-5.61%,1,1,2736,233,16,CLE,HOU,1B,1B,1B
Hingle McCringleberry,257,800.0,Derek Bongiovanni,109,902.0,SB,102.0,T2,1,5,0,2,3.22%,-3.22%,0,0,2736,233,16,CLE,HOU,Steal 2B,SB,SB
Mason Miller,270,72.0,Derek Bongiovanni,109,766.0,K,306.0,T2,1,6,0,2,-8.00%,8.00%,0,0,2736,233,16,CLE,HOU,K,Sac,K
Bingo Hammersmith,639,333.0,Derek Bongiovanni,109,396.0,2B,63.0,T2,2,6,0,2,13.18%,-13.18%,2,0,2736,233,16,CLE,HOU,2B,2B,2B
Matt Taylor,780,555.0,Thomas Beowulf Jr.,111,312.0,FO,243.0,T2,2,2,0,4,-2.02%,2.02%,0,0,2736,233,16,CLE,HOU,FO,FO,FO
Iama Human,520,555.0,Mason Miller,270,837.0,RGO,282.0,B2,0,0,0,4,-2.54%,2.54%,0,0,2737,233,16,HOU,CLE,RGO,RGO,FO
Ola Gjeilo,119,775.0,Mason Miller,270,837.0,1B,62.0,B2,1,0,0,4,3.61%,-3.61%,0,0,2737,233,16,HOU,CLE,1B,2B,2B
Ayden Davis,696,79.0,Mason Miller,270,905.0,FO,174.0,B2,1,1,0,4,-3.82%,3.82%,0,0,2737,233,16,HOU,CLE,FO,FO,BB
Sam Wood,108,837.0,Mason Miller,270,97.0,FO,260.0,B2,2,1,0,4,-2.78%,2.78%,0,0,2737,233,16,HOU,CLE,FO,K,FO
Randy Townsend,648,147.0,Thomas Beowulf Jr.,111,204.0,2B,57.0,T3,0,0,0,4,2.27%,-2.27%,0,1,2738,233,16,CLE,HOU,2B,2B,2B
Joshua Jones,553,,Thomas Beowulf Jr.,111,,Auto BB,,T3,0,2,0,4,1.74%,-1.74%,0,1,2738,233,16,CLE,HOU,Auto BB,Auto BB,Auto BB
Hefe Rojo,472,717.0,Thomas Beowulf Jr.,111,700.0,HR,17.0,T3,0,4,0,4,2.77%,-2.77%,3,1,2738,233,16,CLE,HOU,HR,HR,HR
Biff Studd,254,1.0,Harry Peritestes,117,585.0,RGO,416.0,T3,0,0,0,7,-0.47%,0.47%,0,0,2738,233,16,CLE,HOU,RGO,LGO,RGO
Baron Harold Willingsby,765,348.0,Harry Peritestes,117,850.0,LGO,498.0,T3,1,0,0,7,-0.51%,0.51%,0,0,2738,233,16,CLE,HOU,LGO,LGO,LGO
Tara Dactyl,252,205.0,Harry Peritestes,117,140.0,2B,65.0,T3,2,0,0,7,0.63%,-0.63%,0,0,2738,233,16,CLE,HOU,2B,2B,1B
Mason Miller,270,732.0,Harry Peritestes,117,350.0,RGO,382.0,T3,2,2,0,7,-1.09%,1.09%,0,0,2738,233,16,CLE,HOU,RGO,RGO,PO
Triston Uzumaki,125,654.0,Mason Miller,270,209.0,LGO,445.0,B3,0,0,0,7,-1.22%,1.22%,0,0,2739,233,16,HOU,CLE,LGO,LGO,RGO
Chaz McDunnough,121,752.0,Mason Miller,270,97.0,K,345.0,B3,1,0,0,7,-1.05%,1.05%,0,0,2739,233,16,HOU,CLE,K,RGO,K
Rocco Rudnikov,114,70.0,Mason Miller,270,882.0,FO,188.0,B3,2,0,0,7,-0.11%,0.11%,0,0,2739,233,16,HOU,CLE,FO,FO,FO
Bingo Hammersmith,639,999.0,Harry Peritestes,117,466.0,LGO,467.0,T4,0,0,0,7,0.05%,-0.05%,0,0,2740,233,16,CLE,HOU,LGO,LGO,LGO
Matt Taylor,780,879.0,Harry Peritestes,117,220.0,RGO,341.0,T4,1,0,0,7,-0.30%,0.30%,0,0,2740,233,16,CLE,HOU,RGO,RGO,K
Randy Townsend,648,780.0,Harry Peritestes,117,101.0,RGO,321.0,T4,2,0,0,7,-0.14%,0.14%,0,0,2740,233,16,CLE,HOU,RGO,RGO,K
Riles McGiles,122,611.0,Mason Miller,270,767.0,BB,156.0,B4,0,0,0,7,1.91%,-1.91%,0,0,2741,233,16,HOU,CLE,BB,BB,BB
Fuzzy Spit,501,443.0,Mason Miller,270,811.0,PO,368.0,B4,0,1,0,7,-1.54%,1.54%,0,0,2741,233,16,HOU,CLE,PO,DP,K
JR Smoove,88,632.0,Mason Miller,270,143.0,DP,489.0,B4,1,1,0,7,-2.16%,2.16%,0,0,2741,233,16,HOU,CLE,LGO,DP,DP
Joshua Jones,553,655.0,Harry Peritestes,117,808.0,BB,153.0,T5,0,0,0,7,0.14%,-0.14%,0,0,2742,233,16,CLE,HOU,BB,BB,BB
Joshua Jones,553,420.0,Harry Peritestes,117,23.0,CS,397.0,T5,0,1,0,7,-0.07%,0.07%,0,0,2742,233,16,CLE,HOU,CS 2B,CS,CS
Hefe Rojo,472,339.0,Harry Peritestes,117,545.0,FO,206.0,T5,1,0,0,7,-0.33%,0.33%,0,0,2742,233,16,CLE,HOU,FO,FO,FO
