Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Tucker Doubt,567,481.0,Brent Chillwater,2689,900.0,DP,419.0,T3,0,1,0,0,-9.08%,9.08%,0,0,IMPORT ERROR,8,2,CCD,BAG,LGO,LGO,DP,,,,,1
Geno Scaramucci,165,223.0,Brent Chillwater,2689,568.0,RGO,345.0,T3,2,0,0,0,-2.31%,2.31%,0,0,IMPORT ERROR,8,2,CCD,BAG,RGO,RGO,K,,,,,1
Wheeler,529,888.0,LaCarpetron Dukemarriot,775,631.0,K,257.0,B3,0,0,0,0,-3.07%,3.07%,0,0,IMPORT ERROR,8,2,BAG,CCD,K,K,FO,,,,,1
Tuck,163,601.0,LaCarpetron Dukemarriot,775,137.0,LGO,464.0,B3,1,0,0,0,-2.77%,2.77%,0,0,IMPORT ERROR,8,2,BAG,CCD,LGO,LGO,LGO,,,,,1
Doc Otis,2256,723.0,LaCarpetron Dukemarriot,775,407.0,K,316.0,B3,2,0,0,0,-2.27%,2.27%,0,0,IMPORT ERROR,8,2,BAG,CCD,K,K,K,,,,,1
"Kiwi Cleveland, Esq.",2679,1.0,Brent Chillwater,2689,273.0,K,272.0,T4,0,0,0,0,-3.58%,3.58%,0,0,IMPORT ERROR,8,2,CCD,BAG,K,K,FO,,,,,1
Skippy Gustafsson,1773,921.0,Brent Chillwater,2689,151.0,FO,230.0,T4,1,0,0,0,-3.19%,3.19%,0,0,IMPORT ERROR,8,2,CCD,BAG,FO,FO,FO,,,,,1
Chicano Bradley,2509,666.0,Brent Chillwater,2689,699.0,2B,33.0,T4,2,0,0,0,4.46%,-4.46%,0,0,IMPORT ERROR,8,2,CCD,BAG,2B,3B,2B,,,,,1
Laars Nootbaar jr,2730,999.0,Brent Chillwater,2689,237.0,RGO,238.0,T4,2,2,0,0,-7.21%,7.21%,0,0,IMPORT ERROR,8,2,CCD,BAG,RGO,RGO,FO,,,,,1
Walter Yeller Weller,647,,LaCarpetron Dukemarriot,775,,AUTO K,,B4,0,0,0,0,-3.43%,3.43%,0,0,IMPORT ERROR,8,2,BAG,CCD,AUTO K,AUTO K,AUTO K,,,,,9
Dutch Boggs,2625,552.0,LaCarpetron Dukemarriot,775,198.0,K,354.0,B4,1,0,0,0,-3.17%,3.17%,0,0,IMPORT ERROR,8,2,BAG,CCD,K,K,K,,,,,1
B.a. Dickey,802,813.0,LaCarpetron Dukemarriot,775,619.0,FO,194.0,B4,2,0,0,0,-2.87%,2.87%,0,0,IMPORT ERROR,8,2,BAG,CCD,FO,FO,FO,,,,,1
Taro Tsujimoto,2690,911.0,Brent Chillwater,2689,860.0,2B,51.0,T5,0,0,0,0,10.68%,-10.68%,0,1,IMPORT ERROR,8,2,CCD,BAG,2B,2B,2B,,,,,1
Franklin Poffenberger,2747,466.0,Brent Chillwater,2689,425.0,2B,41.0,T5,0,2,0,0,18.11%,-18.11%,1,1,IMPORT ERROR,8,2,CCD,BAG,2B,2B,2B,,2689,,,1
LaCarpetron Dukemarriot,775,766.0,Brent Chillwater,2689,117.0,PO,351.0,T5,0,2,0,1,-3.88%,3.88%,0,0,IMPORT ERROR,8,2,CCD,BAG,PO,PO,K,,,,,1
Tucker Doubt,567,279.0,Brent Chillwater,2689,123.0,BB,156.0,T5,1,2,0,1,0.77%,-0.77%,0,1,IMPORT ERROR,8,2,CCD,BAG,BB,FO,BB,,,,,1
Geno Scaramucci,165,327.0,Brent Chillwater,2689,330.0,HR,3.0,T5,1,4,0,1,19.89%,-19.89%,3,1,IMPORT ERROR,8,2,CCD,BAG,HR,HR,HR,,2689,2689,2689,1
"Kiwi Cleveland, Esq.",2679,837.0,Sid Houn,2258,666.0,BB,171.0,T5,1,0,0,4,0.32%,-0.32%,0,0,IMPORT ERROR,8,2,CCD,BAG,BB,FO,BB,,,,,1
