G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
11.0,30.0,29.0,9.0,5.0,2.0,3.0,0.0,4.0,24.0,7.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,0.3103448275862069,0.3333333333333333,0.8275862068965517,1.160919540229885,0.5172413793103448,0.25,,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.4666666666666667,0.5333333333333333,0.875,231.17241379310346,0.3333333333333333,0.8275862068965517,3.970726765347757,0.2696,7.0,8.0,BC,S2,56.0,False,TOR,TOR,17,0.49918063898261994
12.0,35.0,30.0,8.0,5.0,3.0,4.0,0.0,1.0,15.0,8.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.26666666666666666,0.37142857142857144,0.5,0.8714285714285714,0.23333333333333334,0.30434782608695654,1.0,0.02857142857142857,0.17142857142857143,0.14285714285714285,0.75,0.25,3.0,264.1818181818182,0.37142857142857144,0.5,3.418689701543293,0.26940000000000003,12.0,4.0,BN,S2,57.0,False,HOU,HOU,18,0.4609949263434808
3.0,5.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,0.0,0.5,0.0,0.0,0.2,0.0,0.5,0.5,1.0,308.0,0.4,0.4,-0.48439406847958744,-0.11510000000000002,1.0,1.0,BP,S2,58.0,False,PHI,PHI,11,-0.03142141310665138
16.0,45.0,43.0,12.0,5.0,8.0,2.0,1.0,1.0,19.0,3.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,0.27906976744186046,0.3111111111111111,0.4418604651162791,0.7529715762273902,0.16279069767441862,0.4074074074074074,,0.022222222222222223,0.3333333333333333,0.044444444444444446,0.4375,0.5625,0.7777777777777778,248.0222222222222,0.3111111111111111,0.4418604651162791,-2.1902810959415544,-0.18230000000000002,7.0,9.0,BN,S2,62.0,False,3TM,STL,18,-0.0658661659223891
2.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.25,,0.0,0.2,0.0,0.6666666666666666,0.3333333333333333,2.0,278.4,0.2,0.2,-0.8161797285440187,-0.1169,2.0,1.0,BN,S2,62.0,True,HOU,HOU,2,-0.0645999791130945
7.0,20.0,18.0,6.0,2.0,4.0,1.0,0.0,1.0,10.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.3333333333333333,0.4,0.5555555555555556,0.9555555555555556,0.22222222222222227,0.5,,0.05,0.35,0.1,0.2,0.8,0.25,213.85,0.4,0.5555555555555556,0.4232369327352524,0.0011000000000000107,1.0,4.0,BN,S2,62.0,True,SFG,SFG,11,0.11039566823875473
7.0,20.0,20.0,5.0,2.0,3.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.25,0.25,0.4,0.65,0.15000000000000002,0.38461538461538464,,0.0,0.35,0.0,0.5,0.5,1.0,274.6,0.25,0.4,-1.7973383001327883,-0.0665,4.0,4.0,BN,S2,62.0,True,STL,STL,18,-0.11166185504804935
18.0,49.0,42.0,20.0,11.0,15.0,2.0,1.0,2.0,30.0,10.0,6.0,0.0,6.0,0.0,4.0,1.0,0.0,1.0,3.0,3.0,4.0,6.0,0.0,0.0,0.47619047619047616,0.5306122448979592,0.7142857142857143,1.2448979591836735,0.23809523809523814,0.5142857142857142,0.8,0.04081632653061224,0.12244897959183673,0.12244897959183673,0.5882352941176471,0.4117647058823529,1.4285714285714286,207.41509433962264,0.5306122448979592,0.7142857142857143,5.750799609725373,0.3783999999999999,10.0,7.0,BC,S2,65.0,False,HOU,HOU,18,0.7418562996373496
6.0,11.0,10.0,4.0,0.0,2.0,1.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.4,0.45454545454545453,0.7,1.1545454545454545,0.29999999999999993,0.4444444444444444,1.0,0.0,0.09090909090909091,0.09090909090909091,0.2,0.8,0.25,183.08333333333334,0.45454545454545453,0.7,1.3528841384131411,0.17199999999999996,1.0,4.0,BC,S2,69.0,False,SEA,SEA,18,0.17272800007219033
11.0,32.0,29.0,12.0,7.0,8.0,1.0,0.0,3.0,22.0,8.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,0.0,0.41379310344827586,0.46875,0.7586206896551724,1.2273706896551724,0.3448275862068965,0.45,,0.09375,0.1875,0.09375,0.5454545454545454,0.45454545454545453,1.2,236.40625,0.46875,0.7586206896551724,4.353518309064048,0.5025999999999999,6.0,5.0,BN,S2,73.0,False,COL,COL,13,0.544266990850772
2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,,0.0,0.6666666666666666,0.0,,,,254.0,0.3333333333333333,0.3333333333333333,0.9791070776249091,0.0508,0.0,0.0,BC,S2,74.0,False,ARI,ARI,6,0.10812150400727534
