G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4,15.333333333333334,58,9,4.0,4.0,3,0,0,13,3,3,6,4,20,3,0,1.5652173913043477,0.7826086956521738,3.5217391304347823,1.1739130434782608,1.1739130434782608,5.086956521739131,4.333333333333333,0.16363636363636364,0.20689655172413793,0.38181818181818183,0.5887147335423197,0.15384615384615385,0.05172413793103448,0.22413793103448276,0.05172413793103448,0.30303030303030304,0.696969696969697,0.43478260869565216,263.3448275862069,-6.848578723778227,0.4374,55,0,0,3,0,10,23,0,0,,BS-H,S10,2474,False,ACK,ACK,2.444421162912519,15.333333333333334,38,4.0,2.0,2.0,2.0,1.0,2,0,0,1,1.0,0.9175388899903473
4,5.333333333333333,22,6,2.0,2.0,2,0,0,1,1,2,5,5,3,0,0,2.25,1.5,6.75,1.125,2.25,1.125,0.5,0.3157894736842105,0.36363636363636365,0.7894736842105263,1.1531100478468899,0.2777777777777778,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.8,0.2,4.0,267.4782608695652,-0.22706700568833738,-0.7827999999999999,19,1,0,0,3,12,3,1,0,1.0,EG-B,S10,2482,False,GRS,GRS,4.197138554216867,6.666666666666667,75,3.4463532883642496,0.0,2.0,0.0,0.0,0,1,0,1,0.0,0.11096501759427406
8,10.333333333333334,47,10,7.0,7.0,6,0,0,12,2,4,3,5,8,3,0,4.064516129032258,1.5483870967741935,5.806451612903225,1.161290322580645,3.483870967741935,6.96774193548387,2.0,0.24390243902439024,0.3404255319148936,0.4878048780487805,0.8282304099636741,0.2962962962962963,0.0425531914893617,0.2553191489361702,0.1276595744680851,0.42105263157894735,0.5789473684210527,0.7272727272727273,248.40816326530611,-0.2529256345184776,0.2398,41,0,0,4,0,8,11,2,0,1.0,BS-B,S10,2504,False,SEO,SEO,2.945122425184609,10.666666666666666,72,5.300148535508483,0.0,1.0,0.0,0.0,1,0,0,2,1.0,0.2138444225516521
1,2.6666666666666665,14,6,4.0,4.0,0,0,0,1,0,1,3,2,1,1,0,9.0,2.25,13.5,0.0,0.0,2.25,,0.42857142857142855,0.42857142857142855,0.7857142857142857,1.2142857142857142,0.46153846153846156,0.0,0.07142857142857142,0.0,0.7142857142857143,0.2857142857142857,2.5,245.5,1.786981137138104,-0.30519999999999997,14,0,0,5,0,5,2,0,0,,TD-B,S10,2509,False,CRN,CRN,0.2596385542168673,3.0,96,2.0,0.0,1.0,0.0,0.0,0,1,0,0,0.0,-0.12253373015216655
1,3.6666666666666665,17,6,4.0,4.0,0,0,0,3,2,1,3,1,2,1,1,6.545454545454546,1.6363636363636365,9.818181818181818,3.2727272727272734,0.0,4.909090909090909,,0.35294117647058826,0.35294117647058826,0.8823529411764706,1.2352941176470589,0.3333333333333333,0.11764705882352941,0.17647058823529413,0.0,0.5714285714285714,0.42857142857142855,1.3333333333333333,224.55555555555554,1.1837183718371838,-0.24380000000000004,17,0,0,3,0,4,3,1,0,1.0,EG-H,S10,2544,False,SSS,SSS,6.464184008762322,3.6666666666666665,136,3.4463532883642496,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.050172228573150866
4,13.0,57,15,12.0,12.0,5,0,0,6,7,3,8,6,12,5,0,5.538461538461538,1.5384615384615385,6.9230769230769225,3.230769230769231,2.307692307692308,2.769230769230769,1.2,0.28846153846153844,0.3508771929824561,0.8076923076923077,1.1585695006747638,0.20512820512820512,0.12280701754385964,0.10526315789473684,0.08771929824561403,0.48484848484848486,0.5151515151515151,0.9411764705882353,239.859649122807,2.280633891326227,-0.5638,52,0,0,4,1,16,17,1,0,1.0,FP-B,S10,2584,False,ZAH,ZAH,8.240407784986099,13.333333333333334,148,13.640189799779444,3.0,2.0,1.0,0.0,0,3,0,0,0.0,0.0006058867969271908
1,1.0,3,0,0.0,0.0,1,0,0,0,0,0,0,2,0,0,0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,,377.25,-0.7040704070407042,0.15430000000000002,2,0,0,0,0,2,0,0,1,0.0,TD-B,S10,2606,False,SEO,SEO,4.009638554216867,1.0,0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1.0,0.0824422657529941
5,18.666666666666668,81,20,10.0,10.0,8,0,0,9,2,10,10,9,20,5,0,3.214285714285714,1.5,6.428571428571429,0.6428571428571428,2.571428571428571,2.8928571428571423,1.125,0.2777777777777778,0.345679012345679,0.5138888888888888,0.8595679012345678,0.2903225806451613,0.024691358024691357,0.1111111111111111,0.09876543209876543,0.4444444444444444,0.5555555555555556,0.8,245.58823529411765,-3.401482146364497,0.08479999999999999,72,1,0,5,3,20,25,2,2,0.5,TD-B,S10,2622,False,GOB,GOB,2.7239242685025813,17.666666666666668,83,10.135983748935178,5.0,1.0,1.0,1.0,3,1,0,0,0.75,0.6650992909573891
4,14.666666666666666,59,15,6.0,6.0,5,0,0,8,1,7,7,6,10,7,1,2.4545454545454546,1.3636363636363638,6.136363636363637,0.40909090909090917,2.045454545454546,3.2727272727272734,1.6,0.2777777777777778,0.3389830508474576,0.48148148148148145,0.820464532328939,0.3111111111111111,0.01694915254237288,0.13559322033898305,0.0847457627118644,0.48484848484848486,0.5151515151515151,0.9411764705882353,268.83870967741933,-4.471243217872928,0.19329999999999997,54,0,0,6,1,16,17,1,2,0.3333333333333333,NH-H,S10,2641,False,SSS,SSS,1.8278203723986857,14.333333333333334,86,8.476975323876363,2.0,2.0,1.0,0.0,1,1,0,0,0.5,0.6838170810827918
3,9.333333333333334,44,12,6.0,6.0,6,0,0,2,2,7,4,8,9,3,0,3.8571428571428568,1.9285714285714284,7.7142857142857135,1.2857142857142856,3.8571428571428568,1.2857142857142856,0.3333333333333333,0.32432432432432434,0.4090909090909091,0.5945945945945946,1.0036855036855037,0.29411764705882354,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.5384615384615384,0.46153846153846156,1.1666666666666667,234.9787234042553,-0.8689980905116058,-0.2691,37,1,0,2,1,14,12,3,0,1.0,BF-H,S10,2646,False,GOB,GOB,5.295352839931153,10.333333333333334,103,7.388330259907449,1.0,1.0,0.0,0.0,1,1,0,0,0.5,0.2634164431020412
