G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,WAR
3.0,7.0,7.0,3.0,2.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.8571428571428571,1.2857142857142856,0.42857142857142855,0.4,0.0,0.14285714285714285,0.14285714285714285,0.0,0.6666666666666666,0.3333333333333333,2.0,191.5,0.42857142857142855,0.8571428571428571,0.6368572483737776,-0.09019999999999999,2.0,1.0,S3,-230,NYM,False,0.09631581266436803
4.0,9.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.14285714285714285,0.0,0.0,0.2222222222222222,0.0,0.16666666666666666,0.8333333333333334,0.2,244.88888888888889,0.1111111111111111,0.2222222222222222,-2.268471723135294,-0.42269999999999996,1.0,5.0,S3,-226,PIT,False,-0.1848942022502562
7.0,12.0,11.0,3.0,2.0,2.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.2727272727272727,0.3333333333333333,0.5454545454545454,0.8787878787878787,0.2727272727272727,0.4,0.0,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.5,248.0909090909091,0.3333333333333333,0.5454545454545454,0.552140484870781,-0.026099999999999977,1.0,2.0,S3,-198,2TM,False,0.11115134190477571
4.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.25,0.0,0.0,0.42857142857142855,0.0,0.3333333333333333,0.6666666666666666,0.5,318.1666666666667,0.14285714285714285,0.14285714285714285,-0.3679466253828739,-0.24650000000000002,1.0,2.0,S3,-198,ARI,True,-0.00416457471129712
3.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,1.25,1.85,0.75,1.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,164.0,0.6,1.25,0.920087110253655,0.2204,0.0,0.0,S3,-198,TOR,True,0.11531591661607284
4.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.4,0.6,0.6666666666666666,263.0,0.14285714285714285,0.0,-1.4979138086701607,-0.1527,2.0,3.0,S3,-197,2TM,False,-0.11716129304002579
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,404.0,0.0,0.0,-0.5308794166639088,-0.054000000000000006,1.0,0.0,S3,-197,ARI,True,-0.048426500548249415
3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.75,0.3333333333333333,239.5,0.16666666666666666,0.0,-0.9670343920062519,-0.09870000000000001,1.0,3.0,S3,-197,TOR,True,-0.06873479249177639
9.0,19.0,17.0,5.0,3.0,3.0,1.0,0.0,1.0,9.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,0.29411764705882354,0.3157894736842105,0.5294117647058824,0.8452012383900929,0.23529411764705882,0.26666666666666666,0.0,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.2727272727272727,0.7272727272727273,0.375,246.75,0.3157894736842105,0.5294117647058824,0.5256109630209015,-0.13910000000000006,3.0,8.0,S3,-182,CLE,False,0.14112847754677804
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,288.0,0.0,0.0,-0.34745105640628027,-0.039599999999999996,0.0,1.0,S3,-179,SFG,False,-0.02542222340434509
