G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,Avg Diff,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD
12.0,19.666666666666668,75.0,16.0,8.0,6.0,0.0,13.0,5.0,2.4406779661016946,1.11864406779661,266.08,S4,165,4.196935221732064,20.333333333333332,111,2.0,10.0,0.0,0.0,1,1,4,0
8.0,26.333333333333332,103.0,23.0,14.0,8.0,0.0,19.0,7.0,3.189873417721519,1.1772151898734178,245.68627450980392,S4,166,4.222680769897694,26.666666666666668,90,5.0,3.0,2.0,1.0,4,3,0,2
4.0,5.0,20.0,3.0,2.0,2.0,0.0,3.0,1.0,2.4,1.0,258.1,S4,175,3.8986301369863012,5.0,96,0.0,3.0,0.0,0.0,2,0,2,0
2.0,3.6666666666666665,14.0,4.0,1.0,1.0,1.0,2.0,0.0,1.6363636363636365,1.3636363636363638,268.46153846153845,S4,180,1.0259028642590284,4.0,115,0.0,2.0,0.0,0.0,0,0,0,0
4.0,13.666666666666666,57.0,10.0,8.0,9.0,3.0,7.0,1.0,3.5121951219512195,1.3902439024390245,273.0377358490566,S4,181,3.2010691613765454,13.666666666666666,107,3.0,1.0,0.0,0.0,0,2,0,0
6.0,28.666666666666668,111.0,19.0,12.0,12.0,1.0,21.0,4.0,2.511627906976744,1.0813953488372092,269.4375,S4,182,2.9032812997769986,27.333333333333332,96,6.0,3.0,3.0,1.0,3,1,0,0
6.0,7.666666666666667,30.0,7.0,2.0,2.0,0.0,4.0,1.0,1.5652173913043477,1.1739130434782608,253.29032258064515,S4,183,2.733412745681953,9.0,259,0.0,6.0,0.0,0.0,1,0,0,0
7.0,21.666666666666668,88.0,21.0,6.0,5.0,0.0,17.0,0.0,1.6615384615384614,1.2,247.30337078651687,S4,188,0.4217070600632242,22.0,108,4.0,4.0,1.0,1.0,4,0,0,0
2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,S4,193,1.2986301369863011,1.6666666666666667,217,,,,,0,0,0,0
7.0,31.666666666666668,129.0,26.0,18.0,11.0,0.0,17.0,6.0,3.4105263157894736,1.1684210526315788,226.2248062015504,S4,195,3.730209084354722,29.666666666666668,65,6.0,5.0,4.0,0.0,3,4,0,0
4.0,19.333333333333332,82.0,19.0,15.0,7.0,0.0,11.0,3.0,4.655172413793104,1.3448275862068966,250.8780487804878,S4,196,3.2641473783656116,19.333333333333332,107,4.0,3.0,3.0,0.0,2,2,0,0
4.0,5.0,23.0,7.0,2.0,1.0,0.0,2.0,1.0,2.4,1.6,266.2608695652174,S4,197,3.698630136986301,5.666666666666667,73,0.0,2.0,0.0,0.0,1,0,0,1
6.0,11.666666666666666,53.0,15.0,12.0,4.0,1.0,5.0,4.0,6.171428571428572,1.6285714285714286,232.4,S4,198,5.927201565557731,11.333333333333334,35,1.0,3.0,0.0,0.0,0,1,0,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,S4,200,inf,0.6666666666666666,56,,,,,0,0,0,0
7.0,20.0,76.0,12.0,6.0,7.0,1.0,19.0,2.0,1.8,0.95,263.18666666666667,S4,201,1.748630136986301,20.0,160,5.0,2.0,1.0,1.0,2,1,0,1
7.0,29.0,124.0,28.0,18.0,13.0,0.0,29.0,5.0,3.7241379310344827,1.4137931034482758,241.07142857142858,S4,211,2.8848370335380253,28.666666666666668,70,5.0,4.0,3.0,2.0,2,4,0,0
2.0,6.0,34.0,13.0,9.0,4.0,0.0,1.0,2.0,9.0,2.8333333333333335,218.17142857142858,S4,216,7.298630136986301,5.666666666666667,43,2.0,0.0,0.0,0.0,1,1,0,0
8.0,25.333333333333332,111.0,34.0,17.0,5.0,0.0,12.0,10.0,4.026315789473684,1.5394736842105263,252.6315789473684,S4,217,6.074945926459986,24.666666666666668,71,7.0,2.0,1.0,0.0,0,5,0,0
6.0,23.666666666666668,100.0,23.0,16.0,12.0,0.0,17.0,6.0,4.056338028169014,1.4788732394366197,248.0,S4,218,4.678911827127147,24.666666666666668,156,5.0,2.0,1.0,0.0,1,4,0,0
9.0,18.333333333333332,77.0,16.0,8.0,11.0,0.0,13.0,3.0,2.618181818181818,1.4727272727272729,246.43421052631578,S4,219,3.8077210460772104,20.0,106,0.0,9.0,0.0,0.0,2,0,0,0
7.0,31.333333333333332,115.0,21.0,7.0,7.0,0.0,34.0,3.0,1.3404255319148937,0.8936170212765958,273.7719298245614,S4,220,1.043310988050131,31.333333333333332,275,6.0,3.0,2.0,2.0,4,0,0,0
10.0,30.333333333333332,111.0,22.0,6.0,7.0,2.0,19.0,2.0,1.1868131868131868,0.9560439560439561,270.8181818181818,S4,227,1.595333433689598,30.666666666666668,174,5.0,3.0,1.0,1.0,3,1,1,1
6.0,19.666666666666668,86.0,23.0,16.0,7.0,0.0,11.0,2.0,4.881355932203389,1.5254237288135593,235.14444444444445,S4,233,2.569816577664267,20.0,84,4.0,2.0,2.0,0.0,0,2,0,0
7.0,18.333333333333332,70.0,16.0,9.0,2.0,0.0,14.0,3.0,2.9454545454545458,0.9818181818181819,270.8529411764706,S4,234,2.2259028642590284,18.666666666666668,182,3.0,3.0,1.0,0.0,0,2,1,0
7.0,25.666666666666668,102.0,22.0,14.0,6.0,0.0,18.0,6.0,3.2727272727272725,1.0909090909090908,261.37142857142857,S4,235,3.6362924746486387,25.333333333333332,95,5.0,4.0,2.0,1.0,3,0,0,0
12.0,31.333333333333332,121.0,25.0,3.0,5.0,2.0,22.0,1.0,0.574468085106383,0.9574468085106383,268.7350427350427,S4,250,0.7879918391139606,30.666666666666668,245,2.0,10.0,1.0,1.0,3,0,5,0
