G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
8.0,29.0,120.0,26.0,21.0,21.0,14.0,0.0,3.0,45.0,10.0,9.0,9.0,5.0,14.0,4.0,0.0,4.344827586206897,1.3793103448275863,5.379310344827586,2.0689655172413794,2.896551724137931,9.310344827586206,3.2142857142857144,0.24528301886792453,0.3333333333333333,0.6037735849056604,0.9371069182389937,0.3137254901960784,0.08333333333333333,0.375,0.11666666666666667,0.4857142857142857,0.5142857142857142,0.9444444444444444,245.51239669421489,5.914568190973564,-0.01770000000000002,106.0,0.0,0.0,6.0,1.0,17.0,18.0,2.0,4.0,0.3333333333333333,TT-B,S3,61,False,CHC,CHC,14,3.962236942190669,28.333333333333332,147,21.550951782921125,6.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.3333333333333333,-0.1504072346356886
1.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.16666666666666666,0.0,0.125,0.125,1.0,0.0,,360.14285714285717,-1.0727272727272728,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,POS,S3,65,False,HOU,HOU,9,1.6346507352941173,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13667603290350513
1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0,3.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.4,0.6,0.6666666666666666,291.7142857142857,-1.0727272727272728,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,,POS,S3,70,False,CHC,CHC,3,1.6346507352941173,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330006196996579
6.0,28.0,113.0,20.0,17.0,17.0,13.0,1.0,0.0,45.0,7.0,9.0,10.0,4.0,11.0,4.0,0.0,3.642857142857143,1.1785714285714286,4.285714285714286,1.5,2.7857142857142856,9.642857142857142,3.4615384615384617,0.20408163265306123,0.2920353982300885,0.46938775510204084,0.7614231533321294,0.2708333333333333,0.061946902654867256,0.39823008849557523,0.11504424778761062,0.5454545454545454,0.45454545454545453,1.2,255.91964285714286,0.40699853009301923,0.8178999999999997,98.0,2.0,0.0,3.0,1.0,18.0,15.0,1.0,2.0,0.3333333333333333,TT-H,S3,74,False,2TM,COL,15,2.5632221638655457,28.0,118,17.130298780654385,5.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,0.8333333333333334,0.37462183902543533
2.0,5.666666666666667,26.0,5.0,4.0,4.0,3.0,1.0,0.0,10.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,4.235294117647059,1.4117647058823528,5.294117647058823,2.117647058823529,3.1764705882352944,10.588235294117647,3.3333333333333335,0.22727272727272727,0.3076923076923077,0.6363636363636364,0.9440559440559441,0.2727272727272727,0.07692307692307693,0.38461538461538464,0.11538461538461539,0.7142857142857143,0.2857142857142857,2.5,244.24,0.7818181818181815,0.030999999999999944,22.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,,TT-H,S3,74,True,ARI,ARI,4,3.781709558823529,6.0,129,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.017378925118209876
4.0,22.333333333333332,87.0,15.0,13.0,13.0,10.0,0.0,0.0,35.0,5.0,8.0,6.0,3.0,9.0,4.0,0.0,3.492537313432836,1.119402985074627,4.029850746268657,1.3432835820895523,2.6865671641791047,9.402985074626866,3.5,0.19736842105263158,0.28735632183908044,0.42105263157894735,0.7084089534180278,0.2702702702702703,0.05747126436781609,0.40229885057471265,0.11494252873563218,0.5,0.5,1.0,259.2758620689655,-0.3748196517251624,0.7868999999999996,76.0,1.0,0.0,2.0,0.0,13.0,13.0,1.0,2.0,0.3333333333333333,TT-H,S3,74,True,COL,COL,15,2.254053720368744,22.0,115,13.130298780654385,4.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.75,0.3572429139072254
6.0,33.666666666666664,130.0,23.0,8.0,8.0,13.0,0.0,0.0,33.0,1.0,14.0,6.0,14.0,31.0,5.0,0.0,1.425742574257426,1.0693069306930694,4.099009900990099,0.17821782178217824,2.316831683168317,5.881188118811882,2.5384615384615383,0.19658119658119658,0.27692307692307694,0.3076923076923077,0.5846153846153846,0.26506024096385544,0.007692307692307693,0.25384615384615383,0.1,0.4098360655737705,0.5901639344262295,0.6944444444444444,255.41176470588235,-11.596801346801348,1.5038,117.0,0.0,0.0,6.0,2.0,25.0,36.0,4.0,2.0,0.6666666666666666,BS-B,S3,75,False,COL,COL,16,0.7188091511357014,33.0,38,6.4079444748723295,6.0,5.0,5.0,2.0,4.0,1.0,0.0,0.0,0.8,1.637483851180275
8.0,38.333333333333336,145.0,26.0,12.0,12.0,10.0,2.0,0.0,24.0,6.0,8.0,14.0,24.0,28.0,14.0,0.0,1.8782608695652172,0.9391304347826086,4.069565217391304,0.9391304347826086,1.5652173913043477,3.7565217391304344,2.4,0.1925925925925926,0.2482758620689655,0.4444444444444444,0.69272030651341,0.19047619047619047,0.041379310344827586,0.16551724137931034,0.06896551724137931,0.5058823529411764,0.49411764705882355,1.0238095238095237,277.27464788732397,-8.710437230831413,2.3932,135.0,0.0,0.0,8.0,4.0,43.0,42.0,1.0,1.0,0.5,FP-S,S3,76,False,COL,COL,14,2.699868126598465,39.0,55,11.0,6.0,8.0,6.0,0.0,5.0,2.0,0.0,0.0,0.7142857142857143,1.40397863764099
10.0,26.666666666666668,106.0,25.0,13.0,13.0,7.0,0.0,1.0,28.0,3.0,12.0,2.0,14.0,23.0,2.0,0.0,2.925,1.2,5.625,0.6749999999999999,1.5750000000000002,6.300000000000001,4.0,0.25252525252525254,0.3018867924528302,0.45454545454545453,0.7564322469982847,0.3235294117647059,0.02830188679245283,0.2641509433962264,0.0660377358490566,0.45652173913043476,0.5434782608695652,0.84,255.35185185185185,-2.500894203521026,1.4624,99.0,0.0,0.0,9.0,1.0,21.0,25.0,3.0,1.0,0.75,BS-B,S3,92,False,DET,DET,16,1.2846507352941172,27.0,76,10.584182805285451,4.0,8.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.6396832199599092
13.0,54.333333333333336,228.0,42.0,23.0,23.0,27.0,1.0,0.0,48.0,14.0,19.0,19.0,19.0,49.0,19.0,0.0,2.539877300613497,1.2699386503067485,4.638036809815951,1.5460122699386503,2.9815950920245395,5.300613496932515,1.7777777777777777,0.21,0.3026315789473684,0.475,0.7776315789473685,0.2014388489208633,0.06140350877192982,0.21052631578947367,0.11842105263157894,0.38181818181818183,0.6181818181818182,0.6176470588235294,238.0,-6.803733366860204,1.2050999999999998,200.0,1.0,0.0,7.0,2.0,42.0,68.0,3.0,1.0,0.75,NT-S,S3,93,False,DET,DET,16,4.208270367195958,55.666666666666664,77,22.130298780654385,9.0,8.0,4.0,2.0,4.0,6.0,1.0,0.0,0.4,1.5183675471631892
