G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
2,6,5,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0.2,0.3333333333333333,0.2,0.5333333333333333,0.0,0.25,,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,2.0,292.5,0.16666666666666666,0.16666666666666666,-0.35128409866983423,0.08799999999999998,2,1,BC,6,6,1,1,0,0,0,S12,170.0,False,LAD,LAD,3,-0.01064809142381668
1,3,3,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,,0.0,0.6666666666666666,0.0,,,,224.66666666666666,0.3333333333333333,0.3333333333333333,0.012323113705602184,-0.027200000000000002,0,0,BN,3,3,1,1,0,0,0,S12,178.0,False,CWS,CWS,2,0.01347247059214359
3,10,8,2,0,0,2,0,0,4,2,2,0,2,0,0,0,0,0,0,1,1,2,0,0,0.25,0.4,0.5,0.9,0.25,0.3333333333333333,,0.0,0.2,0.2,0.5,0.5,1.0,233.4,0.4,0.5,-0.039836831802811945,0.0755,2,2,BC,10,8,2,4,2,0,0,S12,180.0,False,CLE,CLE,3,0.03681684755833004
2,5,5,3,3,1,2,0,0,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.6,0.6,1.0,1.6,0.4,0.75,,0.0,0.2,0.0,1.0,0.0,,200.2,0.6,1.0,2.686701832349439,0.1694,1,0,BC,5,5,3,5,0,0,0,S12,190.0,False,FLA,FLA,3,0.2890704486042495
2,5,5,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6,0.6,0.6,1.2,0.0,0.75,,0.0,0.2,0.0,0.0,1.0,0.0,185.0,0.6,0.6,-1.3343979018814498,0.019100000000000002,0,1,BC,5,5,3,3,0,0,0,S12,191.0,False,COL,COL,3,-0.11303952481883936
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,271.6666666666667,0.0,0.0,-0.6501378166124709,-0.04490000000000001,1,2,1B,3,3,0,0,0,0,0,S12,204.0,False,LAD,LAD,2,-0.05277362243966373
1,2,2,2,1,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.5,3.5,1.5,1.0,,0.5,0.0,0.0,,,,60.5,1.0,2.5,1.3268921095008053,0.2084,0,0,SM,2,2,2,5,0,0,0,S12,219.0,False,CHC,CHC,1,0.14084931709780277
2,5,5,3,1,1,1,1,0,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.6,0.6,1.2,1.7999999999999998,0.6,0.75,1.0,0.0,0.2,0.0,0.0,1.0,0.0,141.66666666666666,0.6,1.4,0.022715444541883345,0.049000000000000016,0,1,S,5,5,3,7,0,0,0,S12,220.0,False,PHI,PHI,3,0.02267180982349395
3,6,6,3,2,1,1,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0.5,1.1666666666666667,1.6666666666666667,0.6666666666666667,0.4,,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,133.66666666666666,0.5,1.1666666666666667,3.257918376989326,0.8815000000000002,0,3,SF,6,6,3,7,0,0,0,S12,226.0,False,PHI,PHI,3,0.35027215614209933
3,9,9,5,4,1,3,1,0,10,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0.5555555555555556,0.5555555555555556,1.1111111111111112,1.6666666666666667,0.5555555555555556,0.7142857142857143,,0.0,0.2222222222222222,0.0,0.5,0.5,1.0,182.11111111111111,0.5555555555555556,1.3333333333333333,0.9576206138724765,0.6393,1,1,XB,9,9,5,12,0,0,0,S12,230.0,False,CWS,CWS,3,0.13248253905199775
