Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
NYY,TBR,11246,11,S11,2,2,1,4,1,1,0,0,4,0,6,1,4,0,0,0,8,24,5.0,4,-0.3233082706766919,0.0928883829291538,-0.1783,9,6,Away
OAK,BOS,10242,10,S10,1,0,0,1,0,1,0,0,2,7,1,3,4,1,0,0,1,19,6.0,0,-3.128571428571429,0.3974875799706923,0.6193000000000001,13,8,Home
OAK,CWS,12242,12,S12,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0,0.26666666666666666,0.04476190476190477,0.0248,1,0,Away
OAK,HOU,5007,5,S5,2,0,0,2,2,1,0,0,4,6,0,3,4,1,0,0,4,22,6.0,0,-3.924812030075188,0.4872823987050961,0.4313,9,6,Away
OAK,KCR,5009,5,S5,3,1,1,1,3,1,0,0,3,2,4,8,1,0,0,0,6,25,6.0,2,-1.924812030075188,0.3002098344820384,0.08470000000000003,13,5,Away
OAK,KCR,8010,8,S8,3,1,1,3,6,1,0,0,7,4,1,2,2,1,0,1,11,28,6.0,7,2.004761904761905,-0.12901609330124655,-0.2627,8,4,Home
OAK,LAD,8011,8,S8,4,4,0,3,4,1,0,0,6,3,1,4,6,1,1,0,11,32,7.0,9,2.492481203007519,-0.1679314579982294,-0.5600999999999999,14,8,Home
OAK,MIN,6003,6,S6,1,2,0,3,6,3,0,0,4,5,5,2,1,1,1,0,11,31,6.0,6,2.25,-0.08691821691821697,-0.7049,10,2,Home
OAK,NYY,11243,11,S11,1,1,0,2,3,1,0,0,2,6,8,1,1,0,1,0,6,25,6.0,3,-2.1879699248120303,0.2844010113311447,-0.03950000000000001,11,4,Home
OAK,PHI,1001,1,S1,1,2,0,3,0,1,0,0,6,3,2,2,2,0,0,0,5,21,5.0,3,0.9166666666666664,0.018546099290780115,-0.09009999999999996,9,6,Away
OAK,SDP,5011,5,S5,4,1,2,2,4,3,0,0,3,9,0,0,4,0,1,2,9,28,6.0,4,0.07518796992481169,0.12606470603592312,-0.1966,13,4,Home
OAK,SEA,8007,8,S8,2,0,1,3,6,0,0,0,7,3,2,1,4,0,2,1,10,27,6.0,5,0.07142857142857162,0.06678138131398142,-0.4168,8,4,Home
OAK,TBR,10246,10,S10,2,2,0,2,5,2,1,0,3,3,1,4,3,1,4,0,9,25,5.0,10,7.392857142857142,-0.610112941849244,-0.5497000000000002,9,4,Away
OAK,TEX,5002,5,S5,1,1,0,0,2,7,0,0,1,9,1,2,2,2,1,1,3,25,6.0,3,-0.9248120300751879,0.20882812499999992,0.28020000000000006,11,5,Home
PHI,ATL,10249,10,S10,3,0,0,0,2,5,0,0,3,3,0,4,5,3,1,0,2,22,6.0,0,-3.128571428571429,0.4153045140998606,0.3347,11,8,Home
PHI,CHC,7001,7,S7,1,2,0,1,3,2,0,0,2,5,8,0,0,0,0,0,6,23,5.0,4,0.532846715328467,0.035042577749982325,-0.23340000000000005,9,4,Away
PHI,CHC,9001,9,S9,1,2,2,2,1,3,0,0,3,10,4,3,1,2,0,0,7,31,7.666666666666667,7,2.8262230919765168,-0.14922543799072135,-0.7049000000000001,16,5,Away
PHI,DET,11251,11,S11,4,1,1,3,5,1,1,0,4,8,2,1,1,0,1,1,10,28,6.0,6,0.8120300751879699,-0.005506062691941191,-0.46149999999999997,9,2,Home
PHI,FLA,10243,10,S10,1,0,0,1,2,0,0,0,3,3,1,5,5,0,0,1,3,20,6.0,1,-2.128571428571429,0.30639604703527645,0.3384,12,10,Home
PHI,MIL,10247,10,S10,2,0,0,0,0,2,0,0,1,6,3,4,3,1,0,0,0,19,6.0,0,-3.128571428571429,0.3974875799706923,0.345,12,5,Away
PHI,MIL,11248,11,S11,2,0,0,2,1,3,0,0,3,5,4,2,3,1,0,0,3,23,6.0,1,-4.18796992481203,0.4768313168484592,0.38039999999999996,11,5,Home
PHI,OAK,1001,1,S1,1,0,0,1,6,3,0,0,5,6,0,1,4,2,0,0,7,26,6.0,2,-0.5000000000000001,0.18645390070921986,0.4099000000000001,11,6,Home
PHI,PIT,2001,2,S2,1,1,0,1,0,2,0,0,4,3,1,3,6,1,0,0,2,21,6.0,1,-1.3863636363636362,0.22756269592476489,0.5514000000000001,10,6,Away
PHI,SDP,6005,6,S6,2,2,0,2,2,4,1,0,5,4,4,2,3,0,0,0,6,28,6.0,7,3.2500000000000004,-0.20417843980343983,-0.31899999999999995,11,6,Home
PHI,SFG,2005,2,S2,2,2,0,2,1,5,1,0,7,3,1,2,4,1,2,0,5,27,6.0,3,0.6136363636363638,0.06143939393939392,0.3561,10,3,Away
PHI,STL,11250,11,S11,3,2,2,1,0,4,0,0,2,4,1,1,8,2,0,0,5,25,6.0,4,-1.1879699248120301,0.1818777798369162,0.1059,12,9,Home
PHI,TBR,10251,10,S10,4,1,1,3,2,3,0,0,5,2,2,5,2,0,2,2,7,26,6.0,5,1.871428571428571,-0.05351585117409487,-0.37100000000000005,12,7,Home
PHI,TOR,2007,2,S2,3,0,1,2,6,4,0,0,6,1,0,6,3,2,0,0,9,29,6.0,2,-0.38636363636363635,0.16143939393939394,0.4476,10,8,Away
PIT,PHI,2001,2,S2,1,0,0,2,6,0,0,0,6,9,1,1,1,0,0,0,8,26,6.0,2,-0.38636363636363624,0.148735632183908,0.05139999999999997,11,3,Home
PIT,SDP,5005,5,S5,2,0,0,1,2,4,0,0,9,0,2,3,3,1,1,0,3,24,6.0,1,-2.924812030075188,0.4002098344820384,0.15579999999999997,8,5,Home
SDP,ARI,5004,5,S5,1,0,1,1,4,3,0,0,5,5,2,5,0,1,0,0,6,26,6.0,2,-1.9248120300751883,0.30451897974101916,0.11199999999999997,9,3,Away
SDP,CHC,8002,8,S8,1,0,0,1,5,0,0,0,4,4,1,4,4,1,0,0,6,23,6.0,3,-1.9285714285714284,0.24953239234071906,0.050899999999999966,12,6,Away
