Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
SDP,LAD,6001,6,S6,1,2,3,2,0,5,0,5,1,0,2,6,3,1,0,0,7,21,29,7,7,3.25,0.4207924381361881,0.3851999999999999,Away
SDP,LAD,8005,8,S8,2,0,1,2,4,2,0,9,4,0,0,2,2,1,0,0,7,11,26,3,3,-1.928571428571428,-0.0624637879940315,-0.1462999999999999,Away
SDP,MTL,5010,5,S5,3,1,0,4,6,2,0,6,3,0,1,6,1,1,2,0,11,18,30,7,7,3.075187969924812,0.4201817042606515,0.2832,Away
SDP,OAK,5011,5,S5,4,1,2,2,4,3,0,3,9,0,0,0,4,0,1,2,9,18,28,4,4,0.0751879699248116,0.1166609884085213,0.1966,Away
SDP,PHI,6005,6,S6,2,2,0,2,2,4,1,5,4,0,4,2,3,0,0,0,6,14,28,7,7,3.2500000000000004,0.4174892506142506,0.3189999999999999,Away
SDP,PIT,5005,5,S5,2,0,0,1,2,4,0,9,0,0,2,3,3,1,1,0,3,4,24,1,1,-2.924812030075188,-0.2044633067042606,-0.1557999999999999,Away
SDP,SFG,7002,7,S7,1,1,0,2,4,0,0,3,2,0,4,1,5,3,0,0,7,12,22,1,1,-3.1605839416058394,-0.2340688181900889,-0.0619,Home
SDP,STL,6009,6,S6,3,2,0,3,5,3,0,5,3,0,2,5,3,0,1,0,10,19,31,5,5,1.2499999999999998,0.2307020007020007,0.0940999999999999,Away
SEA,BOS,4004,4,S4,1,2,1,3,3,2,0,2,3,0,5,3,2,0,1,0,9,20,26,8,8,4.052631578947368,0.5228058714625761,0.8170999999999999,Home
SEA,CWS,6004,6,S6,1,0,0,2,0,0,0,3,8,0,2,2,3,0,0,0,2,4,20,0,0,-3.75,-0.3089362495612495,-0.1492,Home
SEA,KCR,4008,4,S4,2,2,1,4,1,3,1,6,3,0,2,7,1,1,1,1,8,20,30,7,7,0.4736842105263157,0.1866783037997002,0.3438999999999999,Away
SEA,OAK,8007,8,S8,2,0,1,3,6,0,0,7,3,0,2,1,4,0,2,1,10,15,27,5,5,0.0714285714285716,0.1575967281387547,0.4168,Away
SEA,TOR,8004,8,S8,1,1,0,1,4,1,0,4,3,0,1,6,4,0,2,0,6,10,25,2,2,-2.9285714285714284,-0.157448658960835,0.0117999999999999,Away
