G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
2,6,6,2,2.0,1,0,0,1,5,1.0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.1666666666666667,0.5,0.2,,0.16666666666666666,0.0,0.0,0.25,0.75,0.3333333333333333,191.16666666666666,0.3333333333333333,0.8333333333333334,-0.11292016806722682,-0.08899999999999997,1,3,SM,6,6,2,5,0,0,0,S12,2627.0,False,SCR,SCR,0.016536037491919852
2,4,4,1,1.0,0,0,0,1,4,1.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.25,0.25,1.0,1.25,0.75,0.0,,0.25,0.0,0.0,0.75,0.25,3.0,314.25,0.25,1.0,-0.15555555555555545,-0.008599999999999997,3,1,BP,4,4,1,4,0,0,0,S12,2671.0,False,SAL,SAL,0.002996480643539479
2,5,4,1,1.0,0,1,0,0,2,0.0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0.25,0.4,0.5,0.9,0.25,0.25,,0.0,0.0,0.2,1.0,0.0,,307.4,0.4,0.5,-1.657563025210084,-0.08889999999999998,3,0,S,5,4,1,2,1,0,0,S12,2673.0,False,DDD,DDD,-0.14256625727213962
2,5,4,2,2.0,0,0,0,2,8,6.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0.5,0.6,2.0,2.6,1.5,0.0,0.0,0.4,0.0,0.2,0.5,0.5,1.0,195.0,0.6,2.0,4.310154061624649,0.2147,1,1,SM,5,4,2,8,1,0,0,S12,2689.0,False,CCS,CCS,0.4542054514113337
2,5,5,1,0.0,0,1,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.2,0.2,0.4,0.6000000000000001,0.2,0.2,,0.0,0.0,0.0,0.5,0.5,1.0,281.2,0.4,0.5,-0.18831699346405223,-0.0817,2,2,BN,5,4,1,2,1,0,0,S12,2696.0,False,DDD,DDD,0.004358345902463557
2,5,3,0,1.0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,2,2,0,0,1,0,0.0,0.4,0.0,0.4,0.0,0.0,,0.0,0.0,0.4,0.8,0.2,4.0,305.8,0.4,0.0,-1.000595238095238,-0.11910000000000001,4,1,SM,5,3,0,0,2,0,0,S12,2708.0,False,WWC,WWC,-0.07686947856065503
1,2,2,1,1.0,0,0,0,1,4,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0.5,2.0,2.5,1.5,0.0,,0.5,0.0,0.0,1.0,0.0,,231.0,0.5,2.0,0.3571428571428571,0.08570000000000001,2,0,HK,2,2,1,4,0,0,0,S12,2710.0,False,WWC,WWC,0.04499030381383322
1,2,2,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,133.5,0.5,0.5,0.306547619047619,-0.041,0,1,BC,2,2,1,1,0,0,0,S12,2720.0,False,CCS,CCS,0.03993078000430941
2,3,3,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,1.0,0.0,277.3333333333333,0.3333333333333333,0.3333333333333333,0.14087301587301582,-0.0092,0,2,BC,3,3,1,1,0,0,0,S12,2722.0,False,SAL,SAL,0.02800132873662285
2,5,5,2,2.0,0,1,0,1,6,1.0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0.4,0.4,1.2,1.6,0.7999999999999999,0.25,,0.2,0.0,0.0,1.0,0.0,,283.4,0.4,1.2,0.9065476190476189,0.08420000000000001,3,0,MH,5,5,2,6,0,0,0,S12,2730.0,False,KEG,KEG,0.11384480715363068
1,2,2,1,0.0,1,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.0,1.0,,0.0,0.5,0.0,,,,213.0,0.5,0.5,0.17717086834733897,-0.026999999999999996,0,0,HK,2,2,1,1,0,0,0,S12,2735.0,False,PQD,PQD,0.02699310493428141
1,3,2,0,1.0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,226.66666666666666,0.3333333333333333,0.0,-0.2529761904761906,0.0092,0,1,WC,3,2,0,0,1,0,0,S12,2738.0,False,SDV,SDV,-0.01138359189829779
1,4,3,1,1.0,0,1,0,0,2,1.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3333333333333333,0.5,0.6666666666666666,1.1666666666666665,0.3333333333333333,0.5,,0.0,0.25,0.25,1.0,0.0,,241.25,0.5,0.6666666666666666,0.4738095238095238,-0.009200000000000002,2,0,BN,4,3,1,2,1,0,0,S12,2773.0,False,WWC,WWC,0.0659329885800474
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,1.0,0.0,,329.0,0.0,0.0,-0.2647058823529411,-0.048299999999999996,1,0,TT,2,2,0,0,0,0,0,S12,2782.0,False,MMN,MMN,-0.0171945701357466
1,3,3,1,1.0,0,0,0,1,4,1.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666665,1.0,,,0.3333333333333333,0.6666666666666666,0.0,,,,252.0,0.3333333333333333,1.3333333333333333,0.40556722689075625,0.03999999999999999,0,0,1B,3,3,1,4,0,0,0,S12,2792.0,False,PQD,PQD,0.05447074983839689
1,3,2,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.3333333333333333,1.0,0.0,,332.0,0.3333333333333333,0.0,-0.01628151260504196,-0.0616,2,0,BC,3,2,0,0,1,0,0,S12,2825.0,False,SCR,SCR,0.012285875888817072
2,4,4,1,2.0,1,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0.25,0.25,0.25,0.5,0.0,0.25,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,229.0,0.25,0.25,-1.8,-0.0911,1,2,XB,4,4,1,1,0,0,0,S12,2826.0,False,CCS,CCS,-0.16144796380090498
2,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,256.6666666666667,0.0,0.0,-0.3970588235294117,-0.0485,1,2,BP,3,3,0,0,0,0,0,S12,2827.0,False,SAL,SAL,-0.0257918552036199
2,4,4,2,0.0,2,0,0,0,2,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,,0.0,0.25,0.0,1.0,0.0,,250.75,0.5,0.5,-0.4061624649859945,0.0619,1,0,BC,4,4,2,2,0,0,0,S12,2834.0,False,CCS,CCS,-0.02206421029950443
2,6,6,3,1.0,2,1,0,0,4,0.0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.6666666666666666,1.1666666666666665,0.16666666666666663,0.75,,0.0,0.3333333333333333,0.0,1.0,0.0,,174.33333333333334,0.5,0.8333333333333334,0.05535714285714288,0.0212,1,0,BC,6,6,3,5,0,0,0,S12,2835.0,False,WWC,WWC,0.03336376858435682
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,251.0,0.0,0.0,-0.2767857142857143,-0.03949999999999999,0,2,BC,2,2,0,0,0,0,0,S12,2847.0,False,CCS,CCS,-0.018402553329023918
1,3,2,1,1.0,0,1,0,0,2,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6666666666666666,1.0,1.6666666666666665,0.5,1.0,,0.0,0.3333333333333333,0.3333333333333333,,,,146.33333333333334,0.6666666666666666,1.0,0.36269841269841285,0.0435,0,0,WC,3,2,1,2,1,0,0,S12,2853.0,False,DDD,DDD,0.05018386841916256
1,3,2,0,0.0,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,202.25,0.3333333333333333,0.0,0.0763888888888889,-0.05869999999999999,0,1,SM,3,2,0,0,1,0,0,S12,2868.0,False,KEG,KEG,0.021552916038210156
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,292.5,0.0,0.0,-0.5823529411764705,-0.0514,0,2,BP,2,2,0,0,0,0,0,S12,2869.0,False,MMN,MMN,-0.04895927601809954
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,311.0,0.0,0.0,-0.2767857142857143,-0.08180000000000001,1,1,SM,2,2,0,0,0,0,0,S12,2873.0,False,SDV,SDV,-0.018402553329023918
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,390.5,0.0,0.0,-0.2888655462184875,-0.028,1,1,BC,2,2,0,0,0,0,0,S12,2877.0,False,DDD,DDD,-0.019610536522301235
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,372.0,0.0,0.0,-1.3514005602240895,-0.1889,2,1,BC,3,3,0,0,0,0,0,S12,2886.0,False,KEG,KEG,-0.12122602887308769
2,5,4,2,2.0,1,0,0,1,5,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0.6,1.25,1.85,0.75,0.3333333333333333,,0.2,0.0,0.2,0.5,0.5,1.0,210.0,0.6,1.25,0.9464285714285714,0.051899999999999995,1,1,WC,5,4,2,5,1,0,0,S12,2890.0,False,CCS,CCS,0.11783290239172592
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,301.0,0.0,0.0,-0.40913865546218486,-0.0598,1,2,BC,3,3,0,0,0,0,0,S12,2911.0,False,SEF,SEF,-0.026999838396897218
1,4,2,0,0.0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,208.5,0.75,0.0,0.0484243697478991,0.0154,0,2,BN,4,1,0,0,3,0,0,S12,2914.0,False,DDD,DDD,0.023394473173884933
1,2,2,1,1.0,0,0,0,1,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2.0,2.5,1.5,,,0.5,0.5,0.0,,,,204.0,0.5,2.0,0.8676470588235294,0.049600000000000005,0,0,SM,2,2,1,4,0,0,0,S12,2915.0,False,WWC,WWC,0.09604072398190046
