G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,338.5,0.0,0.0,-0.417088886632804,-0.0366,1,1,EN,2,2,0,0,0,0,0,S7,89.0,True,FAP,FAP,3,-0.034419999774391516
2,5,4,1,1.0,0,0,1,0,3,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0.25,0.4,0.75,1.15,0.5,0.3333333333333333,,0.0,0.2,0.2,0.5,0.5,1.0,236.4,0.4,0.5,0.3399907132870036,-0.0426,1,1,EN,5,4,1,2,1,0,0,S7,89.0,True,RRR,RRR,6,0.05222129355092257
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,266.5,0.0,0.0,-0.7670223937849558,-0.12940000000000002,0,1,S,2,2,0,0,0,0,0,S7,90.0,False,CPR,CPR,6,-0.0694133504896067
4,13,12,5,3.0,2,1,1,1,11,2.0,1,0,2,0,0,0,0,0,0,1,0,3,1,0,0.4166666666666667,0.46153846153846156,0.9166666666666666,1.3782051282051282,0.49999999999999994,0.4444444444444444,,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.2,0.8,0.25,190.15384615384616,0.46153846153846156,0.6666666666666666,0.6542665674469788,-0.10429999999999999,1,4,TT,13,12,5,8,1,0,0,S7,91.0,False,STK,STK,14,0.11280443452247564
2,5,5,1,0.0,1,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0.2,0.2,0.2,0.4,0.0,0.25,,0.0,0.2,0.0,0.6666666666666666,0.3333333333333333,2.0,297.8,0.2,0.2,-0.3543148866747799,-0.07919999999999999,2,1,BP,5,5,1,1,0,0,0,S7,92.0,False,BAC,BAC,5,-0.01720926644525577
1,5,4,1,2.0,0,0,0,1,4,2.0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.25,0.4,1.0,1.4,0.75,0.0,,0.2,0.2,0.2,1.0,0.0,,259.4,0.4,1.0,-0.42735427593122166,0.06120000000000003,3,0,XB,5,4,1,4,1,0,0,S7,93.0,False,SSC,SSC,5,-0.024513205370899946
2,7,5,2,2.0,1,0,0,1,5,1.0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0.4,0.5714285714285714,1.0,1.5714285714285714,0.6,0.25,,0.14285714285714285,0.0,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5,197.57142857142858,0.5714285714285714,1.0,0.7709942783000243,0.036500000000000005,1,2,SM,7,5,2,5,2,0,0,S7,99.0,False,BAC,BAC,10,0.10261053894111354
5,11,9,2,1.0,1,1,0,0,3,0.0,2,0,2,0,1,0,0,0,1,0,1,3,1,0,0.2222222222222222,0.36363636363636365,0.3333333333333333,0.696969696969697,0.1111111111111111,0.2857142857142857,1.0,0.0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.6666666666666666,0.5,231.58333333333334,0.36363636363636365,0.3333333333333333,-1.4815661382071563,-0.18000000000000005,2,4,1B,11,9,2,3,2,0,0,S7,100.0,False,BAC,BAC,14,-0.10806772493182674
3,7,7,3,1.0,1,2,0,0,5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0.42857142857142855,0.42857142857142855,0.7142857142857143,1.1428571428571428,0.28571428571428575,0.5,,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,231.42857142857142,0.42857142857142855,0.7142857142857143,0.17908566132361803,-0.0197,0,3,S,7,7,3,5,0,0,0,S7,103.0,False,BAC,BAC,9,0.04341967724347291
3,6,6,1,1.0,0,0,1,0,3,1.0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.33333333333333337,0.25,,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.5,235.4,0.16666666666666666,0.6666666666666666,0.0329519789527003,0.08020000000000001,1,2,BN,6,6,1,4,0,0,0,S7,104.0,False,BAC,BAC,13,0.02516186456193669
3,10,9,3,3.0,3,0,0,0,3,1.0,1,1,3,1,0,0,0,0,1,1,1,0,1,0,0.3333333333333333,0.4,0.3333333333333333,0.7333333333333334,0.0,0.5,,0.0,0.3,0.1,0.75,0.25,3.0,274.25,0.4,0.3333333333333333,-0.20407211176026974,0.00499999999999999,3,1,BC,10,9,3,3,1,0,0,S7,106.0,False,BAC,BAC,14,0.016037233268417467
4,11,11,6,4.0,1,3,0,2,15,3.0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0.5454545454545454,0.5454545454545454,1.3636363636363635,1.909090909090909,0.8181818181818181,0.5714285714285714,,0.18181818181818182,0.18181818181818182,0.0,1.0,0.0,,189.54545454545453,0.5454545454545454,1.4,3.289486735690917,0.36440000000000006,4,0,BC,11,10,5,14,1,0,0,S7,108.0,False,KNX,KNX,14,0.3690375624579806
2,6,6,2,0.0,1,1,0,0,3,1.0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333333,0.16666666666666669,0.5,,0.0,0.3333333333333333,0.0,1.0,0.0,,282.2,0.3333333333333333,0.5,-0.36828999068335555,0.0367,2,0,BP,6,6,2,3,0,0,0,S7,109.0,False,KNX,KNX,11,-0.014962332401668893
5,13,11,2,1.0,2,0,0,0,2,0.0,2,0,1,0,0,0,0,0,1,3,1,3,1,0,0.18181818181818182,0.3076923076923077,0.18181818181818182,0.48951048951048953,0.0,0.2,,0.0,0.07692307692307693,0.15384615384615385,0.5555555555555556,0.4444444444444444,1.25,274.3076923076923,0.3076923076923077,0.18181818181818182,-1.4321106223190414,-0.14190000000000003,5,4,BC,13,11,2,2,2,0,0,S7,112.0,False,KNX,KNX,10,-0.09583328445412638
5,13,12,3,4.0,0,0,0,3,12,4.0,1,0,4,1,0,0,0,0,1,2,2,0,1,0,0.25,0.3076923076923077,1.0,1.3076923076923077,0.75,0.0,,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.8333333333333334,0.16666666666666666,5.0,269.0,0.3076923076923077,1.0,2.013225128747256,0.024199999999999982,5,1,HK,13,12,3,12,1,0,0,S7,113.0,False,KNX,KNX,13,0.24870029065250338
6,17,15,3,0.0,3,0,0,0,3,1.0,1,0,1,0,0,0,1,0,1,3,1,5,2,0,0.2,0.25,0.2,0.45,0.0,0.21428571428571427,,0.0,0.058823529411764705,0.058823529411764705,0.4166666666666667,0.5833333333333334,0.7142857142857143,268.4117647058824,0.25,0.2,-2.5862146667798127,-0.27449999999999997,5,7,BC,17,15,3,3,1,0,1,S7,116.0,False,SSC,SSC,10,-0.19666591112242574
