G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
3.0,10.333333333333334,50.0,12.0,11.0,9.0,0.0,0.0,10.0,2.0,6.387096774193548,2.032258064516129,6.96774193548387,1.161290322580645,5.225806451612903,5.806451612903225,1.1111111111111112,0.3,0.42,0.65,1.07,0.3448275862068966,0.04,0.2,0.18,0.5555555555555556,0.4444444444444444,1.25,241.18867924528303,6.133279712254489,-0.3197,40.0,1.0,0.0,6.0,1.0,10.0,8.0,S3,94,DET,4.326983735222252,10.333333333333334,44,3.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.3454747044574871
12.0,28.333333333333332,116.0,25.0,17.0,11.0,2.0,1.0,19.0,9.0,3.6,1.2705882352941178,5.294117647058824,1.9058823529411768,2.3294117647058825,4.023529411764706,1.7272727272727273,0.2403846153846154,0.3103448275862069,0.5961538461538461,0.9064986737400531,0.2077922077922078,0.07758620689655173,0.16379310344827586,0.09482758620689655,0.5084745762711864,0.4915254237288136,1.0344827586206897,263.11504424778764,0.267668941499077,0.7035,104.0,1.0,0.0,10.0,0.0,30.0,29.0,S3,109,HOU,5.086376524596067,30.0,87,5.0,8.0,2.0,0.0,3,3,1,0,0.5,0.5946526847517636
7.0,15.666666666666666,73.0,18.0,13.0,10.0,3.0,2.0,15.0,6.0,4.9787234042553195,1.7872340425531916,6.893617021276596,2.297872340425532,3.8297872340425534,5.74468085106383,1.5,0.2857142857142857,0.3835616438356164,0.6666666666666666,1.0502283105022832,0.2857142857142857,0.0821917808219178,0.2054794520547945,0.136986301369863,0.5,0.5,1.0,244.21428571428572,4.978919112004627,-0.3984000000000001,63.0,0.0,0.0,6.0,0.0,15.0,15.0,S3,110,HOU,6.112158752380798,16.333333333333332,68,3.0,2.0,0.0,0.0,1,3,0,1,0.25,-0.10682614171923847
3.0,8.333333333333334,42.0,15.0,9.0,3.0,0.0,1.0,9.0,2.0,6.4799999999999995,2.1599999999999997,10.799999999999999,1.44,2.16,6.479999999999999,3.0,0.38461538461538464,0.42857142857142855,0.717948717948718,1.1465201465201464,0.4642857142857143,0.047619047619047616,0.21428571428571427,0.07142857142857142,0.3333333333333333,0.6666666666666666,0.5,209.17073170731706,4.490837095810382,-0.5107,39.0,0.0,0.0,7.0,0.0,5.0,10.0,S3,111,HOU,3.1734353481254782,9.0,56,2.0,0.0,0.0,0.0,0,2,0,0,0.0,-0.22408696549595025
10.0,32.666666666666664,136.0,22.0,19.0,19.0,1.0,1.0,50.0,9.0,3.489795918367347,1.2551020408163267,4.040816326530613,1.6530612244897962,3.4897959183673475,9.183673469387756,2.6315789473684212,0.18803418803418803,0.3014705882352941,0.46153846153846156,0.7630090497737556,0.22413793103448276,0.0661764705882353,0.36764705882352944,0.13970588235294118,0.5555555555555556,0.4444444444444444,1.25,248.32835820895522,-0.25137603824721944,-0.24409999999999982,117.0,0.0,0.0,1.0,2.0,25.0,20.0,S3,112,HOU,3.398741470574458,33.666666666666664,90,6.0,4.0,2.0,0.0,2,2,0,0,0.5,0.753698489433578
1.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,366.0,-0.3587652882935352,0.0038,2.0,0.0,0.0,0.0,0.0,0.0,1.0,S3,117,HOU,-1.8665646518745218,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.046590659500072
2.0,4.333333333333333,21.0,5.0,1.0,2.0,0.0,0.0,7.0,0.0,1.3846153846153848,1.6153846153846154,6.923076923076923,0.0,2.769230769230769,9.692307692307693,3.5,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.0,0.3333333333333333,0.09523809523809523,0.6666666666666666,0.3333333333333333,2.0,266.0,-2.3814935064935066,0.1891,18.0,1.0,0.0,1.0,0.0,4.0,2.0,S3,128,KCR,-0.7127184980283681,5.0,0,1.0,1.0,0.0,0.0,0,1,0,0,0.0,0.3506477226918946
8.0,24.666666666666668,111.0,29.0,21.0,14.0,2.0,0.0,12.0,10.0,5.108108108108108,1.7432432432432432,7.054054054054054,2.4324324324324325,3.4054054054054053,2.918918918918919,0.8571428571428571,0.29896907216494845,0.38738738738738737,0.7731958762886598,1.1605832636760471,0.25333333333333335,0.09009009009009009,0.10810810810810811,0.12612612612612611,0.35714285714285715,0.6428571428571429,0.5555555555555556,242.89908256880733,7.8730050810418275,-1.0185000000000002,97.0,0.0,0.0,8.0,4.0,20.0,36.0,S3,129,KCR,7.133435348125478,24.666666666666668,61,4.0,3.0,1.0,0.0,2,3,1,1,0.4,-0.19266625587930752
10.0,29.666666666666668,133.0,30.0,13.0,18.0,1.0,1.0,26.0,4.0,2.629213483146067,1.6179775280898876,6.067415730337078,0.8089887640449438,3.6404494382022468,5.258426966292134,1.4444444444444444,0.26785714285714285,0.3609022556390977,0.44642857142857145,0.8073308270676691,0.3058823529411765,0.03007518796992481,0.19548872180451127,0.13533834586466165,0.44642857142857145,0.5535714285714286,0.8064516129032258,240.88148148148147,-5.97345598545609,1.0711000000000004,112.0,3.0,0.0,8.0,0.0,25.0,31.0,S3,130,KCR,2.953660067226602,30.666666666666668,136,6.0,4.0,0.0,0.0,5,0,1,0,1.0,1.3098352881483872
11.0,28.333333333333332,118.0,32.0,13.0,2.0,0.0,0.0,27.0,7.0,2.7529411764705882,1.2,6.776470588235294,1.4823529411764707,0.4235294117647059,5.7176470588235295,13.5,0.2782608695652174,0.288135593220339,0.6173913043478261,0.9055268975681651,0.3048780487804878,0.059322033898305086,0.2288135593220339,0.01694915254237288,0.375,0.625,0.6,249.74137931034483,-3.356870416780011,0.48169999999999996,115.0,1.0,0.0,12.0,3.0,21.0,35.0,S3,131,KCR,2.6510824069490075,28.666666666666668,107,5.0,6.0,1.0,0.0,4,1,1,1,0.8,0.967820751250391
