G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
3.0,10.333333333333334,38.0,7.0,6.0,6.0,2.0,0.0,0.0,4.0,2.0,2.0,6.0,3.0,11.0,5.0,0.0,3.4838709677419355,0.8709677419354839,4.064516129032258,1.161290322580645,1.161290322580645,2.32258064516129,2.0,0.19444444444444445,0.23684210526315788,0.5,0.7368421052631579,0.16666666666666666,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.38461538461538464,0.6153846153846154,0.625,267.2307692307692,-3.394373040752351,0.29100000000000004,36.0,0.0,0.0,1.0,2.0,10.0,16.0,0.0,1.0,0.0,,S-8,778,False,PPM,PPM,3.505579464523746,10.666666666666666,107,5.582813206693803,1.0,1.0,0.0,0.0,1,0,0,0,1.0,0.4923698194126585
2.0,1.0,10.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,18.0,7.0,30.0,0.0,12.0,0.0,0.0,0.625,0.7,0.875,1.575,0.625,0.0,0.0,0.2,0.0,1.0,0.0,182.6,3.4711140104375757,-0.25739999999999996,8.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,,,S-8,783,False,SCU,SCU,7.1829988193624565,1.6666666666666667,274,2.2295664534470503,1.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.30686600227075145
3.0,16.0,60.0,9.0,5.0,5.0,7.0,0.0,0.0,8.0,1.0,6.0,12.0,9.0,13.0,2.0,0.0,1.875,1.0,3.375,0.375,2.625,3.0,1.1428571428571428,0.16981132075471697,0.26666666666666666,0.2641509433962264,0.5308176100628931,0.18181818181818182,0.016666666666666666,0.13333333333333333,0.11666666666666667,0.6052631578947368,0.39473684210526316,1.5333333333333334,280.25,-7.381226415094338,0.6892,53.0,0.0,0.0,2.0,0.0,23.0,15.0,0.0,1.0,0.0,,S-8,1706,False,LAC,LAC,2.307998819362456,16.666666666666668,26,2.0964495703301673,3.0,2.0,2.0,2.0,2,1,0,0,0.6666666666666666,0.9795950341474707
4.0,5.666666666666667,27.0,6.0,7.0,7.0,4.0,0.0,0.0,10.0,2.0,2.0,0.0,2.0,3.0,2.0,0.0,7.411764705882352,1.7647058823529411,6.352941176470589,2.117647058823529,4.235294117647058,10.588235294117647,2.5,0.2608695652173913,0.37037037037037035,0.6086956521739131,0.9790660225442834,0.36363636363636365,0.07407407407407407,0.37037037037037035,0.14814814814814814,0.2857142857142857,0.7142857142857143,0.4,231.67857142857142,2.3160182629173884,-0.25439999999999996,23.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,0.0,1.0,,S-8,1725,False,CDT,CDT,4.35946940759775,8.0,51,2.0,1.0,2.0,0.0,0.0,0,1,0,0,0.0,-0.12293924960462226
3.0,13.333333333333334,58.0,17.0,7.0,7.0,2.0,1.0,0.0,4.0,3.0,8.0,7.0,3.0,7.0,18.0,0.0,3.15,1.425,7.6499999999999995,1.3499999999999999,0.8999999999999999,1.7999999999999998,2.0,0.3090909090909091,0.3275862068965517,0.6,0.9275862068965517,0.2857142857142857,0.05172413793103448,0.06896551724137931,0.034482758620689655,0.2857142857142857,0.7142857142857143,0.4,250.88135593220338,-0.9298482169171816,-0.19210000000000002,55.0,1.0,0.0,5.0,1.0,10.0,25.0,1.0,1.0,0.5,,S-8,1792,False,BIS,BIS,3.957998819362456,13.0,144,9.155231924058977,3.0,1.0,1.0,0.0,1,1,0,0,0.5,0.3264081345751538
3.0,2.3333333333333335,9.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.571428571428571,1.2857142857142856,7.7142857142857135,2.571428571428571,0.0,5.142857142857142,,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,1.0,0.0,,271.77777777777777,-1.2950527368612477,-0.34859999999999997,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,S-8,1830,False,NXS,NXS,5.040141676505312,2.6666666666666665,77,1.0,0.0,3.0,0.0,0.0,0,1,1,0,0.0,0.16572613258183028
1.0,1.3333333333333333,12.0,4.0,6.0,6.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,27.0,6.0,18.0,9.0,18.0,4.5,0.25,0.5,0.6666666666666666,1.5,2.1666666666666665,0.4,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,158.75,6.560266412074923,-0.6538,8.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,,S-8,1838,False,BIS,BIS,28.182998819362457,2.0,102,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.607732162679885
3.0,9.666666666666666,45.0,12.0,8.0,8.0,5.0,1.0,0.0,12.0,3.0,6.0,2.0,4.0,8.0,2.0,0.0,4.9655172413793105,1.7586206896551726,7.448275862068966,1.8620689655172415,3.1034482758620694,7.448275862068966,2.4,0.3076923076923077,0.37777777777777777,0.6153846153846154,0.9931623931623932,0.36,0.06666666666666667,0.26666666666666666,0.1111111111111111,0.4117647058823529,0.5882352941176471,0.7,232.8695652173913,3.818837492391967,-0.6715,39.0,1.0,0.0,3.0,0.0,7.0,10.0,3.0,0.0,1.0,,S-8,1844,False,NXS,NXS,4.286447095224525,10.0,98,4.766192593264679,2.0,1.0,1.0,0.0,0,1,0,0,0.0,-0.20077945476066908
4.0,10.666666666666666,40.0,5.0,2.0,2.0,4.0,0.0,0.0,9.0,0.0,2.0,5.0,6.0,8.0,3.0,0.0,1.125,0.84375,2.8125,0.0,2.25,5.0625,2.25,0.14285714285714285,0.225,0.2571428571428571,0.4821428571428571,0.18518518518518517,0.0,0.225,0.1,0.5,0.5,1.0,262.4390243902439,-5.908986069878967,0.3064,35.0,1.0,0.0,2.0,1.0,11.0,11.0,0.0,1.0,0.0,,S-8,2206,False,MMM,MMM,0.6204988193624561,12.0,0,0.0,1.0,4.0,1.0,1.0,1,0,0,0,1.0,0.7518802020799213
1.0,2.6666666666666665,11.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,2.25,1.5,6.75,2.25,2.25,0.0,0.0,0.3333333333333333,0.36363636363636365,0.6666666666666666,1.0303030303030303,0.2222222222222222,0.09090909090909091,0.0,0.09090909090909091,0.5,0.5,1.0,267.6363636363636,-0.5437096774193547,-0.41339999999999993,9.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,,,S-8,2225,False,GND,GND,7.1829988193624565,3.0,68,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0.0,0.09864090639224224
